"global_step","251221_A2C - train/final_neg_count","251221_A2C - train/final_neg_count__MIN","251221_A2C - train/final_neg_count__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"142500","5","5","5","284","284","284"
"143000","6","6","6","285","285","285"
"143500","5","5","5","286","286","286"
"144000","5","5","5","287","287","287"
"144500","4","4","4","288","288","288"
"145000","3","3","3","289","289","289"
"145500","9","9","9","290","290","290"
"146000","7","7","7","291","291","291"
"146500","5","5","5","292","292","292"
"147000","6","6","6","293","293","293"
"147500","4","4","4","294","294","294"
"148000","5","5","5","295","295","295"
"148500","5","5","5","296","296","296"
"149000","3","3","3","297","297","297"
"149500","3","3","3","298","298","298"
"150000","4","4","4","299","299","299"
"150500","15","15","15","300","300","300"
"151000","3","3","3","301","301","301"
"151500","9","9","9","302","302","302"
"152000","8","8","8","303","303","303"
"152500","3","3","3","304","304","304"
"153000","3","3","3","305","305","305"
"153500","5","5","5","306","306","306"
"154000","5","5","5","307","307","307"
"154500","4","4","4","308","308","308"
"155000","11","11","11","309","309","309"
"155500","5","5","5","310","310","310"
"156000","4","4","4","311","311","311"
"156500","5","5","5","312","312","312"
"157000","5","5","5","313","313","313"
"157500","3","3","3","314","314","314"
"158000","3","3","3","315","315","315"
"158500","4","4","4","316","316","316"
"159000","14","14","14","317","317","317"
"159500","3","3","3","318","318","318"
"160000","5","5","5","319","319","319"
"160500","5","5","5","320","320","320"
"161000","3","3","3","321","321","321"
"161500","10","10","10","322","322","322"
"162000","13","13","13","323","323","323"
"162500","15","15","15","324","324","324"
"163000","11","11","11","325","325","325"
"163500","15","15","15","326","326","326"
"164000","6","6","6","327","327","327"
"164500","14","14","14","328","328","328"
"165000","7","7","7","329","329","329"
"165500","3","3","3","330","330","330"
"166000","5","5","5","331","331","331"
"166500","14","14","14","332","332","332"
"167000","3","3","3","333","333","333"
"167500","7","7","7","334","334","334"
"168000","4","4","4","335","335","335"
"168500","5","5","5","336","336","336"
"169000","5","5","5","337","337","337"
"169500","5","5","5","338","338","338"
"170000","12","12","12","339","339","339"
"170500","3","3","3","340","340","340"
"171000","12","12","12","341","341","341"
"171500","6","6","6","342","342","342"
"172000","5","5","5","343","343","343"
"172500","15","15","15","344","344","344"
"173000","15","15","15","345","345","345"
"173500","12","12","12","346","346","346"
"174000","5","5","5","347","347","347"
"174500","8","8","8","348","348","348"
"175000","4","4","4","349","349","349"
"175500","15","15","15","350","350","350"
"176000","14","14","14","351","351","351"
"176500","3","3","3","352","352","352"
"177000","7","7","7","353","353","353"
"177500","9","9","9","354","354","354"
"178000","8","8","8","355","355","355"
"178500","5","5","5","356","356","356"
"179000","6","6","6","357","357","357"
"179500","5","5","5","358","358","358"
"180000","5","5","5","359","359","359"
"180500","5","5","5","360","360","360"
"181000","5","5","5","361","361","361"
"181500","3","3","3","362","362","362"
"182000","3","3","3","363","363","363"
"182500","3","3","3","364","364","364"
"183000","6","6","6","365","365","365"
"183500","5","5","5","366","366","366"
"184000","7","7","7","367","367","367"
"184500","4","4","4","368","368","368"
"185000","5","5","5","369","369","369"
"185500","5","5","5","370","370","370"
"186000","6","6","6","371","371","371"
"186500","5","5","5","372","372","372"
"187000","4","4","4","373","373","373"
"187500","5","5","5","374","374","374"
"188000","5","5","5","375","375","375"
"188500","5","5","5","376","376","376"
"189000","3","3","3","377","377","377"
"189500","7","7","7","378","378","378"
"190000","5","5","5","379","379","379"
"190500","12","12","12","380","380","380"
"191000","9","9","9","381","381","381"
"191500","15","15","15","382","382","382"
"192000","3","3","3","383","383","383"
"192500","3","3","3","384","384","384"
"193000","12","12","12","385","385","385"
"193500","5","5","5","386","386","386"
"194000","3","3","3","387","387","387"
"194500","9","9","9","388","388","388"
"195000","5","5","5","389","389","389"
"195500","7","7","7","390","390","390"
"196000","5","5","5","391","391","391"
"196500","4","4","4","392","392","392"
"197000","3","3","3","393","393","393"
"197500","3","3","3","394","394","394"
"198000","3","3","3","395","395","395"
"198500","10","10","10","396","396","396"
"199000","3","3","3","397","397","397"
"199500","12","12","12","398","398","398"
"200000","7","7","7","399","399","399"
"200500","5","5","5","400","400","400"
"201000","8","8","8","401","401","401"
"201500","15","15","15","402","402","402"
"202000","15","15","15","403","403","403"
"202500","3","3","3","404","404","404"
"203000","5","5","5","405","405","405"
"203500","3","3","3","406","406","406"
"204000","6","6","6","407","407","407"
"204500","10","10","10","408","408","408"
"205000","10","10","10","409","409","409"
"205500","3","3","3","410","410","410"
"206000","9","9","9","411","411","411"
"206500","13","13","13","412","412","412"
"207000","6","6","6","413","413","413"
"207500","7","7","7","414","414","414"
"208000","14","14","14","415","415","415"
"208500","8","8","8","416","416","416"
