"global_step","251221_A2C - time/fps","251221_A2C - time/fps__MIN","251221_A2C - time/fps__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"121500","42","42","42","242","242","242"
"122000","42","42","42","243","243","243"
"122500","42","42","42","244","244","244"
"123000","42","42","42","245","245","245"
"123500","42","42","42","246","246","246"
"124000","42","42","42","247","247","247"
"124500","43","43","43","248","248","248"
"125000","43","43","43","249","249","249"
"125500","43","43","43","250","250","250"
"126000","43","43","43","251","251","251"
"126500","43","43","43","252","252","252"
"127000","43","43","43","253","253","253"
"127500","43","43","43","254","254","254"
"128000","43","43","43","255","255","255"
"128500","44","44","44","256","256","256"
"129000","44","44","44","257","257","257"
"129500","44","44","44","258","258","258"
"130000","44","44","44","259","259","259"
"130500","44","44","44","260","260","260"
"131000","44","44","44","261","261","261"
"131500","44","44","44","262","262","262"
"132000","43","43","43","263","263","263"
"132500","44","44","44","264","264","264"
"133000","43","43","43","265","265","265"
"133500","44","44","44","266","266","266"
"134000","44","44","44","267","267","267"
"134500","44","44","44","268","268","268"
"135000","44","44","44","269","269","269"
"135500","44","44","44","270","270","270"
"136000","44","44","44","271","271","271"
"136500","44","44","44","272","272","272"
"137000","44","44","44","273","273","273"
"137500","44","44","44","274","274","274"
"138000","44","44","44","275","275","275"
"138500","44","44","44","276","276","276"
"139000","44","44","44","277","277","277"
"139500","44","44","44","278","278","278"
"140000","44","44","44","279","279","279"
"140500","44","44","44","280","280","280"
"141000","44","44","44","281","281","281"
"141500","44","44","44","282","282","282"
"142000","44","44","44","283","283","283"
"142500","44","44","44","284","284","284"
"143000","44","44","44","285","285","285"
"143500","44","44","44","286","286","286"
"144000","45","45","45","287","287","287"
"144500","45","45","45","288","288","288"
"145000","45","45","45","289","289","289"
"145500","45","45","45","290","290","290"
"146000","45","45","45","291","291","291"
"146500","45","45","45","292","292","292"
"147000","45","45","45","293","293","293"
"147500","45","45","45","294","294","294"
"148000","45","45","45","295","295","295"
"148500","45","45","45","296","296","296"
"149000","45","45","45","297","297","297"
"149500","45","45","45","298","298","298"
"150000","45","45","45","299","299","299"
"150500","45","45","45","300","300","300"
"151000","45","45","45","301","301","301"
"151500","45","45","45","302","302","302"
"152000","45","45","45","303","303","303"
"152500","45","45","45","304","304","304"
"153000","45","45","45","305","305","305"
"153500","45","45","45","306","306","306"
"154000","45","45","45","307","307","307"
"154500","45","45","45","308","308","308"
"155000","46","46","46","309","309","309"
"155500","46","46","46","310","310","310"
"156000","46","46","46","311","311","311"
"156500","46","46","46","312","312","312"
"157000","46","46","46","313","313","313"
"157500","46","46","46","314","314","314"
"158000","46","46","46","315","315","315"
"158500","46","46","46","316","316","316"
"159000","46","46","46","317","317","317"
"159500","46","46","46","318","318","318"
"160000","46","46","46","319","319","319"
"160500","46","46","46","320","320","320"
"161000","46","46","46","321","321","321"
"161500","47","47","47","322","322","322"
"162000","47","47","47","323","323","323"
"162500","47","47","47","324","324","324"
"163000","47","47","47","325","325","325"
"163500","47","47","47","326","326","326"
"164000","47","47","47","327","327","327"
"164500","46","46","46","328","328","328"
"165000","46","46","46","329","329","329"
"165500","47","47","47","330","330","330"
"166000","47","47","47","331","331","331"
"166500","47","47","47","332","332","332"
"167000","47","47","47","333","333","333"
"167500","47","47","47","334","334","334"
"168000","47","47","47","335","335","335"
"168500","47","47","47","336","336","336"
"169000","47","47","47","337","337","337"
"169500","47","47","47","338","338","338"
"170000","47","47","47","339","339","339"
"170500","47","47","47","340","340","340"
"171000","48","48","48","341","341","341"
"171500","48","48","48","342","342","342"
"172000","48","48","48","343","343","343"
"172500","48","48","48","344","344","344"
"173000","48","48","48","345","345","345"
"173500","48","48","48","346","346","346"
"174000","48","48","48","347","347","347"
"174500","48","48","48","348","348","348"
"175000","48","48","48","349","349","349"
"175500","48","48","48","350","350","350"
"176000","48","48","48","351","351","351"
"176500","48","48","48","352","352","352"
"177000","48","48","48","353","353","353"
"177500","48","48","48","354","354","354"
"178000","48","48","48","355","355","355"
"178500","48","48","48","356","356","356"
"179000","48","48","48","357","357","357"
"179500","48","48","48","358","358","358"
"180000","48","48","48","359","359","359"
"180500","48","48","48","360","360","360"
"181000","48","48","48","361","361","361"
"181500","48","48","48","362","362","362"
"182000","48","48","48","363","363","363"
"182500","48","48","48","364","364","364"
"183000","49","49","49","365","365","365"
"183500","49","49","49","366","366","366"
"184000","49","49","49","367","367","367"
"184500","49","49","49","368","368","368"
"185000","49","49","49","369","369","369"
"185500","49","49","49","370","370","370"
"186000","49","49","49","371","371","371"
"186500","49","49","49","372","372","372"
"187000","49","49","49","373","373","373"
"187500","49","49","49","374","374","374"
"188000","50","50","50","375","375","375"
"188500","50","50","50","376","376","376"
"189000","50","50","50","377","377","377"
"189500","50","50","50","378","378","378"
"190000","50","50","50","379","379","379"
"190500","50","50","50","380","380","380"
"191000","50","50","50","381","381","381"
"191500","50","50","50","382","382","382"
"192000","50","50","50","383","383","383"
"192500","50","50","50","384","384","384"
"193000","50","50","50","385","385","385"
"193500","49","49","49","386","386","386"
"194000","49","49","49","387","387","387"
"194500","49","49","49","388","388","388"
"195000","49","49","49","389","389","389"
"195500","49","49","49","390","390","390"
"196000","49","49","49","391","391","391"
"196500","49","49","49","392","392","392"
"197000","49","49","49","393","393","393"
"197500","49","49","49","394","394","394"
"198000","50","50","50","395","395","395"
"198500","49","49","49","396","396","396"
"199000","49","49","49","397","397","397"
"199500","49","49","49","398","398","398"
"200000","49","49","49","399","399","399"
"200500","50","50","50","400","400","400"
"201000","50","50","50","401","401","401"
"201500","50","50","50","402","402","402"
"202000","50","50","50","403","403","403"
"202500","50","50","50","404","404","404"
"203000","50","50","50","405","405","405"
"203500","50","50","50","406","406","406"
"204000","50","50","50","407","407","407"
"204500","50","50","50","408","408","408"
"205000","50","50","50","409","409","409"
"205500","50","50","50","410","410","410"
"206000","50","50","50","411","411","411"
"206500","50","50","50","412","412","412"
"207000","50","50","50","413","413","413"
"207500","50","50","50","414","414","414"
"208000","49","49","49","415","415","415"
"208500","49","49","49","416","416","416"
"209000","49","49","49","417","417","417"
"209500","49","49","49","418","418","418"
"210000","49","49","49","419","419","419"
"210500","49","49","49","420","420","420"
"211000","49","49","49","421","421","421"
"211500","49","49","49","422","422","422"
"212000","49","49","49","423","423","423"
"212500","49","49","49","424","424","424"
"213000","49","49","49","425","425","425"
"213500","49","49","49","426","426","426"
"214000","49","49","49","427","427","427"
"214500","48","48","48","428","428","428"
"215000","48","48","48","429","429","429"
"215500","48","48","48","430","430","430"
"216000","48","48","48","431","431","431"
"216500","48","48","48","432","432","432"
"217000","48","48","48","433","433","433"
"217500","48","48","48","434","434","434"
"218000","48","48","48","435","435","435"
"218500","48","48","48","436","436","436"
"219000","48","48","48","437","437","437"
"219500","48","48","48","438","438","438"
"220000","48","48","48","439","439","439"
"220500","48","48","48","440","440","440"
"221000","48","48","48","441","441","441"
"221500","48","48","48","442","442","442"
"222000","49","49","49","443","443","443"
"222500","49","49","49","444","444","444"
"223000","49","49","49","445","445","445"
"223500","49","49","49","446","446","446"
"224000","49","49","49","447","447","447"
"224500","48","48","48","448","448","448"
"225000","48","48","48","449","449","449"
"225500","48","48","48","450","450","450"
"226000","48","48","48","451","451","451"
"226500","48","48","48","452","452","452"
"227000","48","48","48","453","453","453"
"227500","48","48","48","454","454","454"
"228000","48","48","48","455","455","455"
"228500","48","48","48","456","456","456"
"229000","48","48","48","457","457","457"
"229500","48","48","48","458","458","458"
"230000","49","49","49","459","459","459"
"230500","49","49","49","460","460","460"
"231000","49","49","49","461","461","461"
"231500","49","49","49","462","462","462"
"232000","49","49","49","463","463","463"
"232500","49","49","49","464","464","464"
"233000","49","49","49","465","465","465"
"233500","49","49","49","466","466","466"
"234000","49","49","49","467","467","467"
"234500","49","49","49","468","468","468"
"235000","49","49","49","469","469","469"
"235500","49","49","49","470","470","470"
"236000","49","49","49","471","471","471"
"236500","49","49","49","472","472","472"
"237000","49","49","49","473","473","473"
"237500","49","49","49","474","474","474"
"238000","49","49","49","475","475","475"
"238500","49","49","49","476","476","476"
"239000","49","49","49","477","477","477"
"239500","49","49","49","478","478","478"
"240000","49","49","49","479","479","479"
"240500","50","50","50","480","480","480"
"241000","50","50","50","481","481","481"
"241500","50","50","50","482","482","482"
"242000","50","50","50","483","483","483"
"242500","50","50","50","484","484","484"
"243000","50","50","50","485","485","485"
"243500","50","50","50","486","486","486"
"244000","50","50","50","487","487","487"
"244500","50","50","50","488","488","488"
"245000","50","50","50","489","489","489"
"245500","50","50","50","490","490","490"
"246000","50","50","50","491","491","491"
"246500","50","50","50","492","492","492"
"247000","50","50","50","493","493","493"
"247500","50","50","50","494","494","494"
"248000","50","50","50","495","495","495"
"248500","50","50","50","496","496","496"
"249000","50","50","50","497","497","497"
"249500","50","50","50","498","498","498"
"250000","50","50","50","499","499","499"
"250500","50","50","50","500","500","500"
"251000","50","50","50","501","501","501"
"251500","50","50","50","502","502","502"
"252000","50","50","50","503","503","503"
"252500","50","50","50","504","504","504"
"253000","50","50","50","505","505","505"
"253500","50","50","50","506","506","506"
"254000","50","50","50","507","507","507"
"254500","50","50","50","508","508","508"
"255000","49","49","49","509","509","509"
"255500","49","49","49","510","510","510"
"256000","50","50","50","511","511","511"
"256500","50","50","50","512","512","512"
"257000","50","50","50","513","513","513"
"257500","50","50","50","514","514","514"
"258000","50","50","50","515","515","515"
"258500","50","50","50","516","516","516"
"259000","50","50","50","517","517","517"
"259500","50","50","50","518","518","518"
"260000","50","50","50","519","519","519"
"260500","50","50","50","520","520","520"
"261000","50","50","50","521","521","521"
"261500","50","50","50","522","522","522"
"262000","50","50","50","523","523","523"
"262500","50","50","50","524","524","524"
"263000","50","50","50","525","525","525"
"263500","50","50","50","526","526","526"
"264000","50","50","50","527","527","527"
"264500","50","50","50","528","528","528"
"265000","50","50","50","529","529","529"
"265500","51","51","51","530","530","530"
"266000","51","51","51","531","531","531"
"266500","51","51","51","532","532","532"
"267000","51","51","51","533","533","533"
"267500","51","51","51","534","534","534"
"268000","51","51","51","535","535","535"
"268500","51","51","51","536","536","536"
"269000","51","51","51","537","537","537"
"269500","51","51","51","538","538","538"
"270000","51","51","51","539","539","539"
"270500","51","51","51","540","540","540"
"271000","51","51","51","541","541","541"
"271500","51","51","51","542","542","542"
"272000","51","51","51","543","543","543"
"272500","51","51","51","544","544","544"
"273000","51","51","51","545","545","545"
"273500","51","51","51","546","546","546"
"274000","51","51","51","547","547","547"
"274500","51","51","51","548","548","548"
"275000","52","52","52","549","549","549"
"275500","52","52","52","550","550","550"
"276000","52","52","52","551","551","551"
"276500","52","52","52","552","552","552"
"277000","52","52","52","553","553","553"
"277500","52","52","52","554","554","554"
"278000","52","52","52","555","555","555"
"278500","52","52","52","556","556","556"
"279000","52","52","52","557","557","557"
"279500","52","52","52","558","558","558"
"280000","52","52","52","559","559","559"
"280500","52","52","52","560","560","560"
"281000","52","52","52","561","561","561"
"281500","52","52","52","562","562","562"
"282000","53","53","53","563","563","563"
"282500","53","53","53","564","564","564"
"283000","53","53","53","565","565","565"
"283500","53","53","53","566","566","566"
"284000","53","53","53","567","567","567"
"284500","53","53","53","568","568","568"
"285000","53","53","53","569","569","569"
