"global_step","251221_A2C - train/final_feat_cross","251221_A2C - train/final_feat_cross__MIN","251221_A2C - train/final_feat_cross__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"137500","2.003049373626709","2.003049373626709","2.003049373626709","274","274","274"
"138000","2.038386821746826","2.038386821746826","2.038386821746826","275","275","275"
"138500","2.2289748191833496","2.2289748191833496","2.2289748191833496","276","276","276"
"139000","2.062994956970215","2.062994956970215","2.062994956970215","277","277","277"
"139500","2.0589239597320557","2.0589239597320557","2.0589239597320557","278","278","278"
"140000","1.8956482410430908","1.8956482410430908","1.8956482410430908","279","279","279"
"140500","2.346822738647461","2.346822738647461","2.346822738647461","280","280","280"
"141000","2.1187047958374023","2.1187047958374023","2.1187047958374023","281","281","281"
"141500","1.905752182006836","1.905752182006836","1.905752182006836","282","282","282"
"142000","2.149446725845337","2.149446725845337","2.149446725845337","283","283","283"
"142500","1.9799658060073853","1.9799658060073853","1.9799658060073853","284","284","284"
"143000","1.7909774780273438","1.7909774780273438","1.7909774780273438","285","285","285"
"143500","2.185230016708374","2.185230016708374","2.185230016708374","286","286","286"
"144000","2.152833938598633","2.152833938598633","2.152833938598633","287","287","287"
"144500","2.2290730476379395","2.2290730476379395","2.2290730476379395","288","288","288"
"145000","1.5947831869125366","1.5947831869125366","1.5947831869125366","289","289","289"
"145500","1.9853761196136475","1.9853761196136475","1.9853761196136475","290","290","290"
"146000","1.9396862983703613","1.9396862983703613","1.9396862983703613","291","291","291"
"146500","2.2305233478546143","2.2305233478546143","2.2305233478546143","292","292","292"
"147000","2.111146926879883","2.111146926879883","2.111146926879883","293","293","293"
"147500","2.0768394470214844","2.0768394470214844","2.0768394470214844","294","294","294"
"148000","1.9369170665740967","1.9369170665740967","1.9369170665740967","295","295","295"
"148500","1.8443492650985718","1.8443492650985718","1.8443492650985718","296","296","296"
"149000","2.38938570022583","2.38938570022583","2.38938570022583","297","297","297"
"149500","2.8160600662231445","2.8160600662231445","2.8160600662231445","298","298","298"
"150000","2.123487949371338","2.123487949371338","2.123487949371338","299","299","299"
"150500","1.8313454389572144","1.8313454389572144","1.8313454389572144","300","300","300"
"151000","1.9951156377792358","1.9951156377792358","1.9951156377792358","301","301","301"
"151500","2.1791796684265137","2.1791796684265137","2.1791796684265137","302","302","302"
