"global_step","251213_useLessPoint - train/value_loss","251213_useLessPoint - train/value_loss__MIN","251213_useLessPoint - train/value_loss__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"178000","8.621306419372559","8.621306419372559","8.621306419372559","88","88","88"
"180000","6.934274196624756","6.934274196624756","6.934274196624756","89","89","89"
"182000","13.285213470458984","13.285213470458984","13.285213470458984","90","90","90"
"184000","14.379531860351562","14.379531860351562","14.379531860351562","91","91","91"
"186000","11.203652381896973","11.203652381896973","11.203652381896973","92","92","92"
"188000","7.643322944641113","7.643322944641113","7.643322944641113","93","93","93"
"190000","12.958169937133789","12.958169937133789","12.958169937133789","94","94","94"
"192000","10.079619407653809","10.079619407653809","10.079619407653809","95","95","95"
"194000","11.870927810668945","11.870927810668945","11.870927810668945","96","96","96"
"196000","8.308881759643555","8.308881759643555","8.308881759643555","97","97","97"
"198000","12.017208099365234","12.017208099365234","12.017208099365234","98","98","98"
"200000","10.665508270263672","10.665508270263672","10.665508270263672","99","99","99"
"202000","9.294921875","9.294921875","9.294921875","100","100","100"
"204000","13.518867492675781","13.518867492675781","13.518867492675781","101","101","101"
"206000","5.0914483070373535","5.0914483070373535","5.0914483070373535","102","102","102"
"208000","5.8241095542907715","5.8241095542907715","5.8241095542907715","103","103","103"
"210000","6.660348415374756","6.660348415374756","6.660348415374756","104","104","104"
"212000","7.292418479919434","7.292418479919434","7.292418479919434","105","105","105"
"214000","8.509138107299805","8.509138107299805","8.509138107299805","106","106","106"
"216000","8.674118995666504","8.674118995666504","8.674118995666504","107","107","107"
"218000","7.731459617614746","7.731459617614746","7.731459617614746","108","108","108"
"220000","12.049734115600586","12.049734115600586","12.049734115600586","109","109","109"
"222000","12.647651672363281","12.647651672363281","12.647651672363281","110","110","110"
"224000","9.051851272583008","9.051851272583008","9.051851272583008","111","111","111"
"226000","16.93198585510254","16.93198585510254","16.93198585510254","112","112","112"
"228000","9.660011291503906","9.660011291503906","9.660011291503906","113","113","113"
"230000","14.908913612365723","14.908913612365723","14.908913612365723","114","114","114"
"232000","11.198633193969727","11.198633193969727","11.198633193969727","115","115","115"
"234000","7.685454845428467","7.685454845428467","7.685454845428467","116","116","116"
"236000","7.099084854125977","7.099084854125977","7.099084854125977","117","117","117"
"238000","6.0953497886657715","6.0953497886657715","6.0953497886657715","118","118","118"
"240000","13.120670318603516","13.120670318603516","13.120670318603516","119","119","119"
"242000","22.350894927978516","22.350894927978516","22.350894927978516","120","120","120"
"244000","10.078335762023926","10.078335762023926","10.078335762023926","121","121","121"
"246000","11.372456550598145","11.372456550598145","11.372456550598145","122","122","122"
"248000","4.586664199829102","4.586664199829102","4.586664199829102","123","123","123"
"250000","7.133256912231445","7.133256912231445","7.133256912231445","124","124","124"
"252000","4.8370041847229","4.8370041847229","4.8370041847229","125","125","125"
"254000","6.177098751068115","6.177098751068115","6.177098751068115","126","126","126"
"256000","8.228730201721191","8.228730201721191","8.228730201721191","127","127","127"
"258000","22.934078216552734","22.934078216552734","22.934078216552734","128","128","128"
"260000","14.401934623718262","14.401934623718262","14.401934623718262","129","129","129"
"262000","13.535059928894043","13.535059928894043","13.535059928894043","130","130","130"
"264000","12.333152770996094","12.333152770996094","12.333152770996094","131","131","131"
"266000","8.034619331359863","8.034619331359863","8.034619331359863","132","132","132"
"268000","7.222781658172607","7.222781658172607","7.222781658172607","133","133","133"
"270000","10.489151954650879","10.489151954650879","10.489151954650879","134","134","134"
"272000","6.928371906280518","6.928371906280518","6.928371906280518","135","135","135"
"274000","7.064598560333252","7.064598560333252","7.064598560333252","136","136","136"
"276000","7.926748752593994","7.926748752593994","7.926748752593994","137","137","137"
"278000","6.096946716308594","6.096946716308594","6.096946716308594","138","138","138"
"280000","9.654480934143066","9.654480934143066","9.654480934143066","139","139","139"
"282000","17.35598373413086","17.35598373413086","17.35598373413086","140","140","140"
"284000","14.380874633789062","14.380874633789062","14.380874633789062","141","141","141"
"286000","9.924832344055176","9.924832344055176","9.924832344055176","142","142","142"
"288000","10.088061332702637","10.088061332702637","10.088061332702637","143","143","143"
"290000","11.271623611450195","11.271623611450195","11.271623611450195","144","144","144"
"292000","15.556142807006836","15.556142807006836","15.556142807006836","145","145","145"
"294000","12.19784927368164","12.19784927368164","12.19784927368164","146","146","146"
"296000","8.654881477355957","8.654881477355957","8.654881477355957","147","147","147"
"298000","11.529534339904785","11.529534339904785","11.529534339904785","148","148","148"
"300000","13.523900032043457","13.523900032043457","13.523900032043457","149","149","149"
"302000","12.121212005615234","12.121212005615234","12.121212005615234","150","150","150"
"304000","5.306178569793701","5.306178569793701","5.306178569793701","151","151","151"
"306000","6.849969863891602","6.849969863891602","6.849969863891602","152","152","152"
"308000","11.43332576751709","11.43332576751709","11.43332576751709","153","153","153"
"310000","11.253141403198242","11.253141403198242","11.253141403198242","154","154","154"
"312000","4.69097375869751","4.69097375869751","4.69097375869751","155","155","155"
"314000","12.7407865524292","12.7407865524292","12.7407865524292","156","156","156"
"316000","6.901489734649658","6.901489734649658","6.901489734649658","157","157","157"
"318000","7.518784046173096","7.518784046173096","7.518784046173096","158","158","158"
"320000","8.184229850769043","8.184229850769043","8.184229850769043","159","159","159"
"322000","14.591132164001465","14.591132164001465","14.591132164001465","160","160","160"
"324000","12.31456184387207","12.31456184387207","12.31456184387207","161","161","161"
"326000","4.047765731811523","4.047765731811523","4.047765731811523","162","162","162"
"328000","5.256343841552734","5.256343841552734","5.256343841552734","163","163","163"
"330000","10.147026062011719","10.147026062011719","10.147026062011719","164","164","164"
"332000","6.15069580078125","6.15069580078125","6.15069580078125","165","165","165"
"334000","6.730249404907227","6.730249404907227","6.730249404907227","166","166","166"
"336000","7.278952598571777","7.278952598571777","7.278952598571777","167","167","167"
"338000","6.090041160583496","6.090041160583496","6.090041160583496","168","168","168"
"340000","5.432901382446289","5.432901382446289","5.432901382446289","169","169","169"
"342000","5.346813678741455","5.346813678741455","5.346813678741455","170","170","170"
"344000","5.192490577697754","5.192490577697754","5.192490577697754","171","171","171"
"346000","6.8413214683532715","6.8413214683532715","6.8413214683532715","172","172","172"
"348000","12.449687004089355","12.449687004089355","12.449687004089355","173","173","173"
"350000","10.470266342163086","10.470266342163086","10.470266342163086","174","174","174"
"352000","6.191293239593506","6.191293239593506","6.191293239593506","175","175","175"
"354000","10.347542762756348","10.347542762756348","10.347542762756348","176","176","176"
"356000","7.387302398681641","7.387302398681641","7.387302398681641","177","177","177"
"358000","5.9937615394592285","5.9937615394592285","5.9937615394592285","178","178","178"
"360000","5.046634674072266","5.046634674072266","5.046634674072266","179","179","179"
"362000","5.014193058013916","5.014193058013916","5.014193058013916","180","180","180"
"364000","14.597342491149902","14.597342491149902","14.597342491149902","181","181","181"
"366000","7.733504772186279","7.733504772186279","7.733504772186279","182","182","182"
"368000","5.515905380249023","5.515905380249023","5.515905380249023","183","183","183"
"370000","12.12224292755127","12.12224292755127","12.12224292755127","184","184","184"
"372000","7.867976188659668","7.867976188659668","7.867976188659668","185","185","185"
"374000","4.138863563537598","4.138863563537598","4.138863563537598","186","186","186"
"376000","4.983670234680176","4.983670234680176","4.983670234680176","187","187","187"
"378000","6.314105987548828","6.314105987548828","6.314105987548828","188","188","188"
"380000","7.930736541748047","7.930736541748047","7.930736541748047","189","189","189"
"382000","10.263381004333496","10.263381004333496","10.263381004333496","190","190","190"
"384000","5.139957427978516","5.139957427978516","5.139957427978516","191","191","191"
"386000","11.839591026306152","11.839591026306152","11.839591026306152","192","192","192"
"388000","6.967325687408447","6.967325687408447","6.967325687408447","193","193","193"
"390000","8.292970657348633","8.292970657348633","8.292970657348633","194","194","194"
"392000","5.233643054962158","5.233643054962158","5.233643054962158","195","195","195"
"394000","5.493940830230713","5.493940830230713","5.493940830230713","196","196","196"
"396000","8.045195579528809","8.045195579528809","8.045195579528809","197","197","197"
"398000","4.959000587463379","4.959000587463379","4.959000587463379","198","198","198"
"400000","7.379701137542725","7.379701137542725","7.379701137542725","199","199","199"
"402000","7.8917012214660645","7.8917012214660645","7.8917012214660645","200","200","200"
