"global_step","251213_useLessPoint - train/final_neg_count","251213_useLessPoint - train/final_neg_count__MIN","251213_useLessPoint - train/final_neg_count__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"586000","7","7","7","292","292","292"
"588000","7","7","7","293","293","293"
"590000","8","8","8","294","294","294"
"592000","9","9","9","295","295","295"
"594000","6","6","6","296","296","296"
"596000","6","6","6","297","297","297"
"598000","10","10","10","298","298","298"
"600000","6","6","6","299","299","299"
"602000","6","6","6","300","300","300"
"604000","5","5","5","301","301","301"
"606000","8","8","8","302","302","302"
"608000","6","6","6","303","303","303"
"610000","10","10","10","304","304","304"
"612000","10","10","10","305","305","305"
"614000","7","7","7","306","306","306"
"616000","7","7","7","307","307","307"
"618000","7","7","7","308","308","308"
"620000","7","7","7","309","309","309"
"622000","5","5","5","310","310","310"
"624000","4","4","4","311","311","311"
"626000","7","7","7","312","312","312"
"628000","7","7","7","313","313","313"
"630000","8","8","8","314","314","314"
"632000","9","9","9","315","315","315"
"634000","11","11","11","316","316","316"
"636000","7","7","7","317","317","317"
"638000","7","7","7","318","318","318"
"640000","7","7","7","319","319","319"
"642000","12","12","12","320","320","320"
"644000","7","7","7","321","321","321"
"646000","5","5","5","322","322","322"
"648000","12","12","12","323","323","323"
"650000","8","8","8","324","324","324"
"652000","10","10","10","325","325","325"
"654000","12","12","12","326","326","326"
"656000","9","9","9","327","327","327"
"658000","12","12","12","328","328","328"
"660000","13","13","13","329","329","329"
"662000","13","13","13","330","330","330"
"664000","12","12","12","331","331","331"
"666000","12","12","12","332","332","332"
"668000","8","8","8","333","333","333"
"670000","3","3","3","334","334","334"
"672000","8","8","8","335","335","335"
"674000","11","11","11","336","336","336"
"676000","6","6","6","337","337","337"
"678000","12","12","12","338","338","338"
"680000","13","13","13","339","339","339"
"682000","14","14","14","340","340","340"
"684000","5","5","5","341","341","341"
"686000","5","5","5","342","342","342"
"688000","11","11","11","343","343","343"
"690000","11","11","11","344","344","344"
"692000","7","7","7","345","345","345"
"694000","7","7","7","346","346","346"
"696000","15","15","15","347","347","347"
"698000","3","3","3","348","348","348"
"700000","10","10","10","349","349","349"
"702000","3","3","3","350","350","350"
"704000","6","6","6","351","351","351"
"706000","10","10","10","352","352","352"
"708000","5","5","5","353","353","353"
"710000","7","7","7","354","354","354"
"712000","9","9","9","355","355","355"
"714000","8","8","8","356","356","356"
"716000","8","8","8","357","357","357"
"718000","8","8","8","358","358","358"
"720000","7","7","7","359","359","359"
"722000","4","4","4","360","360","360"
"724000","6","6","6","361","361","361"
"726000","4","4","4","362","362","362"
"728000","5","5","5","363","363","363"
"730000","8","8","8","364","364","364"
"732000","10","10","10","365","365","365"
"734000","8","8","8","366","366","366"
"736000","15","15","15","367","367","367"
"738000","13","13","13","368","368","368"
"740000","4","4","4","369","369","369"
