"global_step","251213_useLessPoint - train/final_episode_iou","251213_useLessPoint - train/final_episode_iou__MIN","251213_useLessPoint - train/final_episode_iou__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"380000","0.3877405524253845","0.3877405524253845","0.3877405524253845","189","189","189"
"382000","0.4153077006340027","0.4153077006340027","0.4153077006340027","190","190","190"
"384000","0.399964839220047","0.399964839220047","0.399964839220047","191","191","191"
"386000","0.5856524705886841","0.5856524705886841","0.5856524705886841","192","192","192"
"388000","0.33055365085601807","0.33055365085601807","0.33055365085601807","193","193","193"
"390000","0.28962546586990356","0.28962546586990356","0.28962546586990356","194","194","194"
"392000","0.3776755928993225","0.3776755928993225","0.3776755928993225","195","195","195"
"394000","0.3415021598339081","0.3415021598339081","0.3415021598339081","196","196","196"
"396000","0.30161410570144653","0.30161410570144653","0.30161410570144653","197","197","197"
"398000","0.37106919288635254","0.37106919288635254","0.37106919288635254","198","198","198"
"400000","0.2541169226169586","0.2541169226169586","0.2541169226169586","199","199","199"
"402000","0.4054925739765167","0.4054925739765167","0.4054925739765167","200","200","200"
"404000","0.37148937582969666","0.37148937582969666","0.37148937582969666","201","201","201"
"406000","0.3447839319705963","0.3447839319705963","0.3447839319705963","202","202","202"
"408000","0.25429579615592957","0.25429579615592957","0.25429579615592957","203","203","203"
"410000","0.26821693778038025","0.26821693778038025","0.26821693778038025","204","204","204"
"412000","0.34345948696136475","0.34345948696136475","0.34345948696136475","205","205","205"
"414000","0.33782854676246643","0.33782854676246643","0.33782854676246643","206","206","206"
"416000","0.32625970244407654","0.32625970244407654","0.32625970244407654","207","207","207"
"418000","0.11114030331373215","0.11114030331373215","0.11114030331373215","208","208","208"
"420000","0.25313806533813477","0.25313806533813477","0.25313806533813477","209","209","209"
"422000","0.40500280261039734","0.40500280261039734","0.40500280261039734","210","210","210"
"424000","0.41349393129348755","0.41349393129348755","0.41349393129348755","211","211","211"
"426000","0.3084813356399536","0.3084813356399536","0.3084813356399536","212","212","212"
"428000","0.37837839126586914","0.37837839126586914","0.37837839126586914","213","213","213"
"430000","0.2440958172082901","0.2440958172082901","0.2440958172082901","214","214","214"
"432000","0.4360377788543701","0.4360377788543701","0.4360377788543701","215","215","215"
"434000","0.35926082730293274","0.35926082730293274","0.35926082730293274","216","216","216"
"436000","0.489622563123703","0.489622563123703","0.489622563123703","217","217","217"
"438000","0.22979286313056946","0.22979286313056946","0.22979286313056946","218","218","218"
"440000","0.3805066645145416","0.3805066645145416","0.3805066645145416","219","219","219"
"442000","0.311636745929718","0.311636745929718","0.311636745929718","220","220","220"
"444000","0.2593153119087219","0.2593153119087219","0.2593153119087219","221","221","221"
"446000","0.3569965362548828","0.3569965362548828","0.3569965362548828","222","222","222"
"448000","0.2049284279346466","0.2049284279346466","0.2049284279346466","223","223","223"
"450000","0.32962119579315186","0.32962119579315186","0.32962119579315186","224","224","224"
"452000","0.466292142868042","0.466292142868042","0.466292142868042","225","225","225"
"454000","0.4179721176624298","0.4179721176624298","0.4179721176624298","226","226","226"
"456000","0.19170214235782623","0.19170214235782623","0.19170214235782623","227","227","227"
"458000","0.14710281789302826","0.14710281789302826","0.14710281789302826","228","228","228"
"460000","0.1334465891122818","0.1334465891122818","0.1334465891122818","229","229","229"
"462000","0.352312833070755","0.352312833070755","0.352312833070755","230","230","230"
"464000","0.41164642572402954","0.41164642572402954","0.41164642572402954","231","231","231"
"466000","0.34079256653785706","0.34079256653785706","0.34079256653785706","232","232","232"
"468000","0.3329900801181793","0.3329900801181793","0.3329900801181793","233","233","233"
"470000","0.30068591237068176","0.30068591237068176","0.30068591237068176","234","234","234"
