"global_step","251213_useLessPoint - train/final_feat_cross","251213_useLessPoint - train/final_feat_cross__MIN","251213_useLessPoint - train/final_feat_cross__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"580000","2.0938074588775635","2.0938074588775635","2.0938074588775635","289","289","289"
"582000","2.04388689994812","2.04388689994812","2.04388689994812","290","290","290"
"584000","2.027644634246826","2.027644634246826","2.027644634246826","291","291","291"
"586000","1.9420111179351807","1.9420111179351807","1.9420111179351807","292","292","292"
"588000","2.2910549640655518","2.2910549640655518","2.2910549640655518","293","293","293"
"590000","2.189241647720337","2.189241647720337","2.189241647720337","294","294","294"
"592000","2.2966792583465576","2.2966792583465576","2.2966792583465576","295","295","295"
"594000","1.875916600227356","1.875916600227356","1.875916600227356","296","296","296"
"596000","1.9352529048919678","1.9352529048919678","1.9352529048919678","297","297","297"
"598000","1.8208202123641968","1.8208202123641968","1.8208202123641968","298","298","298"
"600000","1.9294787645339966","1.9294787645339966","1.9294787645339966","299","299","299"
"602000","2.0446717739105225","2.0446717739105225","2.0446717739105225","300","300","300"
"604000","2.0477182865142822","2.0477182865142822","2.0477182865142822","301","301","301"
"606000","2.097973346710205","2.097973346710205","2.097973346710205","302","302","302"
"608000","2.0357322692871094","2.0357322692871094","2.0357322692871094","303","303","303"
"610000","2.0385615825653076","2.0385615825653076","2.0385615825653076","304","304","304"
"612000","1.924530267715454","1.924530267715454","1.924530267715454","305","305","305"
"614000","1.9418233633041382","1.9418233633041382","1.9418233633041382","306","306","306"
"616000","1.9568252563476562","1.9568252563476562","1.9568252563476562","307","307","307"
"618000","1.806794285774231","1.806794285774231","1.806794285774231","308","308","308"
"620000","1.9013853073120117","1.9013853073120117","1.9013853073120117","309","309","309"
"622000","2.036163330078125","2.036163330078125","2.036163330078125","310","310","310"
"624000","1.8894652128219604","1.8894652128219604","1.8894652128219604","311","311","311"
"626000","1.9944547414779663","1.9944547414779663","1.9944547414779663","312","312","312"
"628000","2.1392605304718018","2.1392605304718018","2.1392605304718018","313","313","313"
"630000","2.0871779918670654","2.0871779918670654","2.0871779918670654","314","314","314"
"632000","2.034329414367676","2.034329414367676","2.034329414367676","315","315","315"
"634000","2.3057894706726074","2.3057894706726074","2.3057894706726074","316","316","316"
"636000","1.985494613647461","1.985494613647461","1.985494613647461","317","317","317"
"638000","2.038642406463623","2.038642406463623","2.038642406463623","318","318","318"
"640000","2.123044967651367","2.123044967651367","2.123044967651367","319","319","319"
"642000","1.975171685218811","1.975171685218811","1.975171685218811","320","320","320"
"644000","2.0073585510253906","2.0073585510253906","2.0073585510253906","321","321","321"
"646000","1.6863837242126465","1.6863837242126465","1.6863837242126465","322","322","322"
"648000","1.7262282371520996","1.7262282371520996","1.7262282371520996","323","323","323"
"650000","2.1332290172576904","2.1332290172576904","2.1332290172576904","324","324","324"
"652000","2.1379077434539795","2.1379077434539795","2.1379077434539795","325","325","325"
"654000","1.8810497522354126","1.8810497522354126","1.8810497522354126","326","326","326"
"656000","2.09442400932312","2.09442400932312","2.09442400932312","327","327","327"
"658000","2.1733486652374268","2.1733486652374268","2.1733486652374268","328","328","328"
"660000","1.6454956531524658","1.6454956531524658","1.6454956531524658","329","329","329"
"662000","1.823995590209961","1.823995590209961","1.823995590209961","330","330","330"
"664000","1.869124412536621","1.869124412536621","1.869124412536621","331","331","331"
"666000","1.8168299198150635","1.8168299198150635","1.8168299198150635","332","332","332"
"668000","2.1189098358154297","2.1189098358154297","2.1189098358154297","333","333","333"
"670000","1.9562907218933105","1.9562907218933105","1.9562907218933105","334","334","334"
"672000","2.00484037399292","2.00484037399292","2.00484037399292","335","335","335"
"674000","2.192547082901001","2.192547082901001","2.192547082901001","336","336","336"
"676000","2.1241865158081055","2.1241865158081055","2.1241865158081055","337","337","337"
"678000","1.966299057006836","1.966299057006836","1.966299057006836","338","338","338"
"680000","2.0240042209625244","2.0240042209625244","2.0240042209625244","339","339","339"
"682000","2.005876064300537","2.005876064300537","2.005876064300537","340","340","340"
"684000","1.9725538492202759","1.9725538492202759","1.9725538492202759","341","341","341"
"686000","1.8815584182739258","1.8815584182739258","1.8815584182739258","342","342","342"
"688000","2.061174154281616","2.061174154281616","2.061174154281616","343","343","343"
"690000","1.5730088949203491","1.5730088949203491","1.5730088949203491","344","344","344"
"692000","2.2635622024536133","2.2635622024536133","2.2635622024536133","345","345","345"
"694000","1.9253255128860474","1.9253255128860474","1.9253255128860474","346","346","346"
"696000","1.8778493404388428","1.8778493404388428","1.8778493404388428","347","347","347"
"698000","1.9944024085998535","1.9944024085998535","1.9944024085998535","348","348","348"
"700000","1.2923731803894043","1.2923731803894043","1.2923731803894043","349","349","349"
"702000","2.0270586013793945","2.0270586013793945","2.0270586013793945","350","350","350"
"704000","1.7603906393051147","1.7603906393051147","1.7603906393051147","351","351","351"
"706000","2.096496820449829","2.096496820449829","2.096496820449829","352","352","352"
"708000","1.92000412940979","1.92000412940979","1.92000412940979","353","353","353"
"710000","2.2775983810424805","2.2775983810424805","2.2775983810424805","354","354","354"
"712000","2.1989262104034424","2.1989262104034424","2.1989262104034424","355","355","355"
"714000","2.0477378368377686","2.0477378368377686","2.0477378368377686","356","356","356"
"716000","2.096251964569092","2.096251964569092","2.096251964569092","357","357","357"
"718000","2.25791597366333","2.25791597366333","2.25791597366333","358","358","358"
"720000","2.1512935161590576","2.1512935161590576","2.1512935161590576","359","359","359"
"722000","1.8548389673233032","1.8548389673233032","1.8548389673233032","360","360","360"
"724000","2.0395538806915283","2.0395538806915283","2.0395538806915283","361","361","361"
"726000","2.1995410919189453","2.1995410919189453","2.1995410919189453","362","362","362"
"728000","1.7237179279327393","1.7237179279327393","1.7237179279327393","363","363","363"
"730000","2.1763548851013184","2.1763548851013184","2.1763548851013184","364","364","364"
"732000","1.6567507982254028","1.6567507982254028","1.6567507982254028","365","365","365"
"734000","2.1867620944976807","2.1867620944976807","2.1867620944976807","366","366","366"
"736000","1.9839236736297607","1.9839236736297607","1.9839236736297607","367","367","367"
