"global_step","251213_useLessPoint - time/fps","251213_useLessPoint - time/fps__MIN","251213_useLessPoint - time/fps__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"816000","23","23","23","407","407","407"
"818000","23","23","23","408","408","408"
"820000","23","23","23","409","409","409"
"822000","23","23","23","410","410","410"
"824000","23","23","23","411","411","411"
"826000","23","23","23","412","412","412"
"828000","23","23","23","413","413","413"
"830000","23","23","23","414","414","414"
"832000","23","23","23","415","415","415"
"834000","23","23","23","416","416","416"
"836000","23","23","23","417","417","417"
"838000","23","23","23","418","418","418"
"840000","23","23","23","419","419","419"
"842000","23","23","23","420","420","420"
"844000","23","23","23","421","421","421"
"846000","23","23","23","422","422","422"
"848000","23","23","23","423","423","423"
"850000","23","23","23","424","424","424"
"852000","23","23","23","425","425","425"
"854000","23","23","23","426","426","426"
"856000","23","23","23","427","427","427"
"858000","23","23","23","428","428","428"
"860000","23","23","23","429","429","429"
"862000","23","23","23","430","430","430"
"864000","23","23","23","431","431","431"
"866000","23","23","23","432","432","432"
"868000","23","23","23","433","433","433"
"870000","23","23","23","434","434","434"
"872000","23","23","23","435","435","435"
"874000","23","23","23","436","436","436"
"876000","23","23","23","437","437","437"
"878000","23","23","23","438","438","438"
"880000","23","23","23","439","439","439"
"882000","23","23","23","440","440","440"
"884000","23","23","23","441","441","441"
"886000","23","23","23","442","442","442"
"888000","23","23","23","443","443","443"
"890000","23","23","23","444","444","444"
"892000","23","23","23","445","445","445"
"894000","23","23","23","446","446","446"
"896000","23","23","23","447","447","447"
"898000","23","23","23","448","448","448"
"900000","23","23","23","449","449","449"
"902000","23","23","23","450","450","450"
"904000","23","23","23","451","451","451"
"906000","23","23","23","452","452","452"
"908000","23","23","23","453","453","453"
"910000","23","23","23","454","454","454"
"912000","23","23","23","455","455","455"
"914000","23","23","23","456","456","456"
"916000","23","23","23","457","457","457"
"918000","23","23","23","458","458","458"
"920000","23","23","23","459","459","459"
"922000","23","23","23","460","460","460"
"924000","23","23","23","461","461","461"
"926000","23","23","23","462","462","462"
"928000","23","23","23","463","463","463"
"930000","23","23","23","464","464","464"
"932000","23","23","23","465","465","465"
"934000","23","23","23","466","466","466"
"936000","23","23","23","467","467","467"
"938000","22","22","22","468","468","468"
"940000","23","23","23","469","469","469"
"942000","22","22","22","470","470","470"
"944000","22","22","22","471","471","471"
"946000","22","22","22","472","472","472"
"948000","22","22","22","473","473","473"
"950000","22","22","22","474","474","474"
"952000","22","22","22","475","475","475"
"954000","22","22","22","476","476","476"
"956000","22","22","22","477","477","477"
"958000","22","22","22","478","478","478"
"960000","22","22","22","479","479","479"
"962000","22","22","22","480","480","480"
"964000","22","22","22","481","481","481"
"966000","22","22","22","482","482","482"
"968000","22","22","22","483","483","483"
"970000","22","22","22","484","484","484"
"972000","22","22","22","485","485","485"
"974000","22","22","22","486","486","486"
"976000","22","22","22","487","487","487"
"978000","22","22","22","488","488","488"
"980000","22","22","22","489","489","489"
"982000","23","23","23","490","490","490"
"984000","23","23","23","491","491","491"
"986000","23","23","23","492","492","492"
"988000","23","23","23","493","493","493"
"990000","23","23","23","494","494","494"
"992000","23","23","23","495","495","495"
"994000","23","23","23","496","496","496"
"996000","23","23","23","497","497","497"
"998000","23","23","23","498","498","498"
"1000000","23","23","23","499","499","499"
"1002000","23","23","23","500","500","500"
"1004000","23","23","23","501","501","501"
"1006000","23","23","23","502","502","502"
"1008000","23","23","23","503","503","503"
"1010000","23","23","23","504","504","504"
"1012000","23","23","23","505","505","505"
"1014000","23","23","23","506","506","506"
"1016000","23","23","23","507","507","507"
"1018000","23","23","23","508","508","508"
"1020000","23","23","23","509","509","509"
"1022000","23","23","23","510","510","510"
"1024000","23","23","23","511","511","511"
"1026000","23","23","23","512","512","512"
"1028000","23","23","23","513","513","513"
"1030000","22","22","22","514","514","514"
"1032000","22","22","22","515","515","515"
"1034000","22","22","22","516","516","516"
"1036000","22","22","22","517","517","517"
"1038000","22","22","22","518","518","518"
"1040000","22","22","22","519","519","519"
"1042000","22","22","22","520","520","520"
"1044000","22","22","22","521","521","521"
"1046000","22","22","22","522","522","522"
"1048000","22","22","22","523","523","523"
"1050000","22","22","22","524","524","524"
"1052000","22","22","22","525","525","525"
"1054000","22","22","22","526","526","526"
"1056000","23","23","23","527","527","527"
"1058000","23","23","23","528","528","528"
"1060000","23","23","23","529","529","529"
"1062000","23","23","23","530","530","530"
"1064000","23","23","23","531","531","531"
"1066000","23","23","23","532","532","532"
"1068000","23","23","23","533","533","533"
"1070000","23","23","23","534","534","534"
"1072000","23","23","23","535","535","535"
"1074000","23","23","23","536","536","536"
"1076000","23","23","23","537","537","537"
"1078000","23","23","23","538","538","538"
"1080000","22","22","22","539","539","539"
"1082000","23","23","23","540","540","540"
"1084000","22","22","22","541","541","541"
"1086000","22","22","22","542","542","542"
"1088000","23","23","23","543","543","543"
"1090000","23","23","23","544","544","544"
"1092000","23","23","23","545","545","545"
"1094000","23","23","23","546","546","546"
"1096000","23","23","23","547","547","547"
"1098000","23","23","23","548","548","548"
"1100000","23","23","23","549","549","549"
"1102000","23","23","23","550","550","550"
"1104000","23","23","23","551","551","551"
"1106000","23","23","23","552","552","552"
"1108000","23","23","23","553","553","553"
"1110000","23","23","23","554","554","554"
"1112000","23","23","23","555","555","555"
"1114000","23","23","23","556","556","556"
"1116000","23","23","23","557","557","557"
"1118000","23","23","23","558","558","558"
"1120000","23","23","23","559","559","559"
"1122000","23","23","23","560","560","560"
"1124000","23","23","23","561","561","561"
"1126000","22","22","22","562","562","562"
"1128000","22","22","22","563","563","563"
"1130000","22","22","22","564","564","564"
"1132000","22","22","22","565","565","565"
"1134000","22","22","22","566","566","566"
"1136000","22","22","22","567","567","567"
"1138000","22","22","22","568","568","568"
"1140000","22","22","22","569","569","569"
"1142000","22","22","22","570","570","570"
"1144000","22","22","22","571","571","571"
"1146000","22","22","22","572","572","572"
"1148000","22","22","22","573","573","573"
"1150000","22","22","22","574","574","574"
"1152000","22","22","22","575","575","575"
"1154000","22","22","22","576","576","576"
"1156000","22","22","22","577","577","577"
"1158000","22","22","22","578","578","578"
"1160000","22","22","22","579","579","579"
"1162000","22","22","22","580","580","580"
"1164000","22","22","22","581","581","581"
"1166000","22","22","22","582","582","582"
"1168000","22","22","22","583","583","583"
"1170000","22","22","22","584","584","584"
"1172000","22","22","22","585","585","585"
"1174000","22","22","22","586","586","586"
"1176000","22","22","22","587","587","587"
"1178000","22","22","22","588","588","588"
"1180000","22","22","22","589","589","589"
"1182000","22","22","22","590","590","590"
"1184000","22","22","22","591","591","591"
"1186000","22","22","22","592","592","592"
"1188000","22","22","22","593","593","593"
"1190000","22","22","22","594","594","594"
"1192000","22","22","22","595","595","595"
"1194000","22","22","22","596","596","596"
"1196000","22","22","22","597","597","597"
"1198000","22","22","22","598","598","598"
"1200000","22","22","22","599","599","599"
"1202000","22","22","22","600","600","600"
"1204000","22","22","22","601","601","601"
"1206000","22","22","22","602","602","602"
"1208000","22","22","22","603","603","603"
"1210000","22","22","22","604","604","604"
"1212000","22","22","22","605","605","605"
"1214000","22","22","22","606","606","606"
"1216000","22","22","22","607","607","607"
"1218000","22","22","22","608","608","608"
"1220000","22","22","22","609","609","609"
"1222000","22","22","22","610","610","610"
"1224000","22","22","22","611","611","611"
"1226000","22","22","22","612","612","612"
"1228000","22","22","22","613","613","613"
"1230000","22","22","22","614","614","614"
"1232000","22","22","22","615","615","615"
"1234000","22","22","22","616","616","616"
"1236000","22","22","22","617","617","617"
"1238000","22","22","22","618","618","618"
"1240000","22","22","22","619","619","619"
"1242000","22","22","22","620","620","620"
"1244000","22","22","22","621","621","621"
"1246000","22","22","22","622","622","622"
"1248000","22","22","22","623","623","623"
"1250000","22","22","22","624","624","624"
"1252000","22","22","22","625","625","625"
"1254000","22","22","22","626","626","626"
"1256000","22","22","22","627","627","627"
"1258000","22","22","22","628","628","628"
"1260000","22","22","22","629","629","629"
"1262000","22","22","22","630","630","630"
"1264000","22","22","22","631","631","631"
"1266000","22","22","22","632","632","632"
"1268000","22","22","22","633","633","633"
"1270000","22","22","22","634","634","634"
"1272000","22","22","22","635","635","635"
"1274000","22","22","22","636","636","636"
"1276000","22","22","22","637","637","637"
"1278000","22","22","22","638","638","638"
"1280000","22","22","22","639","639","639"
"1282000","22","22","22","640","640","640"
"1284000","22","22","22","641","641","641"
"1286000","22","22","22","642","642","642"
"1288000","22","22","22","643","643","643"
"1290000","22","22","22","644","644","644"
"1292000","22","22","22","645","645","645"
"1294000","22","22","22","646","646","646"
"1296000","22","22","22","647","647","647"
"1298000","22","22","22","648","648","648"
"1300000","22","22","22","649","649","649"
"1302000","22","22","22","650","650","650"
"1304000","22","22","22","651","651","651"
"1306000","22","22","22","652","652","652"
"1308000","22","22","22","653","653","653"
"1310000","22","22","22","654","654","654"
"1312000","22","22","22","655","655","655"
"1314000","22","22","22","656","656","656"
"1316000","22","22","22","657","657","657"
"1318000","22","22","22","658","658","658"
"1320000","22","22","22","659","659","659"
"1322000","22","22","22","660","660","660"
"1324000","22","22","22","661","661","661"
"1326000","22","22","22","662","662","662"
"1328000","22","22","22","663","663","663"
"1330000","22","22","22","664","664","664"
"1332000","22","22","22","665","665","665"
"1334000","22","22","22","666","666","666"
"1336000","22","22","22","667","667","667"
"1338000","22","22","22","668","668","668"
"1340000","22","22","22","669","669","669"
"1342000","22","22","22","670","670","670"
"1344000","22","22","22","671","671","671"
"1346000","22","22","22","672","672","672"
"1348000","22","22","22","673","673","673"
"1350000","22","22","22","674","674","674"
"1352000","22","22","22","675","675","675"
"1354000","22","22","22","676","676","676"
"1356000","22","22","22","677","677","677"
"1358000","22","22","22","678","678","678"
"1360000","22","22","22","679","679","679"
"1362000","22","22","22","680","680","680"
"1364000","22","22","22","681","681","681"
"1366000","22","22","22","682","682","682"
"1368000","22","22","22","683","683","683"
"1370000","22","22","22","684","684","684"
"1372000","22","22","22","685","685","685"
"1374000","22","22","22","686","686","686"
"1376000","22","22","22","687","687","687"
"1378000","22","22","22","688","688","688"
"1380000","22","22","22","689","689","689"
"1382000","22","22","22","690","690","690"
"1384000","22","22","22","691","691","691"
"1386000","22","22","22","692","692","692"
"1388000","22","22","22","693","693","693"
"1390000","22","22","22","694","694","694"
