"global_step","251213_useLessPoint - rollout/ep_len_mean","251213_useLessPoint - rollout/ep_len_mean__MIN","251213_useLessPoint - rollout/ep_len_mean__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"522000","500","500","500","260","260","260"
"524000","500","500","500","261","261","261"
"526000","500","500","500","262","262","262"
"528000","500","500","500","263","263","263"
"530000","500","500","500","264","264","264"
"532000","500","500","500","265","265","265"
"534000","500","500","500","266","266","266"
"536000","500","500","500","267","267","267"
"538000","500","500","500","268","268","268"
"540000","500","500","500","269","269","269"
"542000","500","500","500","270","270","270"
"544000","500","500","500","271","271","271"
"546000","500","500","500","272","272","272"
"548000","500","500","500","273","273","273"
"550000","500","500","500","274","274","274"
"552000","500","500","500","275","275","275"
"554000","500","500","500","276","276","276"
"556000","500","500","500","277","277","277"
"558000","500","500","500","278","278","278"
"560000","500","500","500","279","279","279"
"562000","500","500","500","280","280","280"
"564000","500","500","500","281","281","281"
"566000","500","500","500","282","282","282"
"568000","500","500","500","283","283","283"
"570000","500","500","500","284","284","284"
"572000","500","500","500","285","285","285"
"574000","500","500","500","286","286","286"
"576000","500","500","500","287","287","287"
"578000","500","500","500","288","288","288"
"580000","500","500","500","289","289","289"
"582000","500","500","500","290","290","290"
"584000","500","500","500","291","291","291"
"586000","500","500","500","292","292","292"
"588000","500","500","500","293","293","293"
"590000","500","500","500","294","294","294"
"592000","500","500","500","295","295","295"
"594000","500","500","500","296","296","296"
"596000","500","500","500","297","297","297"
"598000","500","500","500","298","298","298"
"600000","500","500","500","299","299","299"
"602000","500","500","500","300","300","300"
"604000","500","500","500","301","301","301"
"606000","500","500","500","302","302","302"
"608000","500","500","500","303","303","303"
"610000","500","500","500","304","304","304"
"612000","500","500","500","305","305","305"
"614000","500","500","500","306","306","306"
"616000","500","500","500","307","307","307"
"618000","500","500","500","308","308","308"
"620000","500","500","500","309","309","309"
"622000","500","500","500","310","310","310"
"624000","500","500","500","311","311","311"
"626000","500","500","500","312","312","312"
"628000","500","500","500","313","313","313"
"630000","500","500","500","314","314","314"
"632000","500","500","500","315","315","315"
"634000","500","500","500","316","316","316"
"636000","500","500","500","317","317","317"
"638000","500","500","500","318","318","318"
"640000","500","500","500","319","319","319"
"642000","500","500","500","320","320","320"
"644000","500","500","500","321","321","321"
"646000","500","500","500","322","322","322"
"648000","500","500","500","323","323","323"
"650000","500","500","500","324","324","324"
"652000","500","500","500","325","325","325"
"654000","500","500","500","326","326","326"
"656000","500","500","500","327","327","327"
"658000","500","500","500","328","328","328"
"660000","500","500","500","329","329","329"
"662000","500","500","500","330","330","330"
