"global_step","251221_DQN - time/fps","251221_DQN - time/fps__MIN","251221_DQN - time/fps__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"476000","24","24","24","237","237","237"
"478000","24","24","24","238","238","238"
"480000","24","24","24","239","239","239"
"482000","24","24","24","240","240","240"
"484000","24","24","24","241","241","241"
"486000","24","24","24","242","242","242"
"488000","24","24","24","243","243","243"
"490000","24","24","24","244","244","244"
"492000","24","24","24","245","245","245"
"494000","24","24","24","246","246","246"
"496000","24","24","24","247","247","247"
"498000","24","24","24","248","248","248"
"500000","24","24","24","249","249","249"
"502000","24","24","24","250","250","250"
"504000","24","24","24","251","251","251"
"506000","24","24","24","252","252","252"
"508000","24","24","24","253","253","253"
"510000","24","24","24","254","254","254"
"512000","24","24","24","255","255","255"
"514000","24","24","24","256","256","256"
"516000","24","24","24","257","257","257"
"518000","24","24","24","258","258","258"
"520000","24","24","24","259","259","259"
"522000","24","24","24","260","260","260"
"524000","24","24","24","261","261","261"
"526000","24","24","24","262","262","262"
"528000","24","24","24","263","263","263"
"530000","24","24","24","264","264","264"
"532000","24","24","24","265","265","265"
"534000","24","24","24","266","266","266"
"536000","24","24","24","267","267","267"
"538000","24","24","24","268","268","268"
"540000","24","24","24","269","269","269"
"542000","24","24","24","270","270","270"
"544000","24","24","24","271","271","271"
"546000","24","24","24","272","272","272"
"548000","24","24","24","273","273","273"
"550000","24","24","24","274","274","274"
"552000","24","24","24","275","275","275"
"554000","24","24","24","276","276","276"
"556000","24","24","24","277","277","277"
"558000","24","24","24","278","278","278"
"560000","24","24","24","279","279","279"
"562000","24","24","24","280","280","280"
"564000","24","24","24","281","281","281"
"566000","24","24","24","282","282","282"
"568000","24","24","24","283","283","283"
"570000","24","24","24","284","284","284"
"572000","24","24","24","285","285","285"
"574000","24","24","24","286","286","286"
"576000","24","24","24","287","287","287"
"578000","24","24","24","288","288","288"
"580000","24","24","24","289","289","289"
"582000","24","24","24","290","290","290"
"584000","24","24","24","291","291","291"
"586000","24","24","24","292","292","292"
"588000","24","24","24","293","293","293"
"590000","24","24","24","294","294","294"
"592000","24","24","24","295","295","295"
"594000","24","24","24","296","296","296"
"596000","24","24","24","297","297","297"
"598000","24","24","24","298","298","298"
"600000","24","24","24","299","299","299"
"602000","24","24","24","300","300","300"
"604000","24","24","24","301","301","301"
"606000","24","24","24","302","302","302"
"608000","24","24","24","303","303","303"
"610000","24","24","24","304","304","304"
"612000","24","24","24","305","305","305"
"614000","24","24","24","306","306","306"
"616000","24","24","24","307","307","307"
"618000","24","24","24","308","308","308"
"620000","24","24","24","309","309","309"
"622000","24","24","24","310","310","310"
"624000","24","24","24","311","311","311"
"626000","24","24","24","312","312","312"
"628000","24","24","24","313","313","313"
"630000","24","24","24","314","314","314"
"632000","24","24","24","315","315","315"
"634000","24","24","24","316","316","316"
"636000","24","24","24","317","317","317"
"638000","24","24","24","318","318","318"
"640000","24","24","24","319","319","319"
"642000","24","24","24","320","320","320"
"644000","24","24","24","321","321","321"
"646000","24","24","24","322","322","322"
"648000","24","24","24","323","323","323"
"650000","24","24","24","324","324","324"
"652000","24","24","24","325","325","325"
"654000","24","24","24","326","326","326"
"656000","24","24","24","327","327","327"
"658000","24","24","24","328","328","328"
"660000","24","24","24","329","329","329"
"662000","24","24","24","330","330","330"
"664000","24","24","24","331","331","331"
"666000","24","24","24","332","332","332"
"668000","24","24","24","333","333","333"
"670000","24","24","24","334","334","334"
"672000","24","24","24","335","335","335"
"674000","24","24","24","336","336","336"
"676000","24","24","24","337","337","337"
"678000","24","24","24","338","338","338"
"680000","24","24","24","339","339","339"
"682000","24","24","24","340","340","340"
"684000","24","24","24","341","341","341"
"686000","24","24","24","342","342","342"
"688000","24","24","24","343","343","343"
"690000","24","24","24","344","344","344"
"692000","24","24","24","345","345","345"
"694000","24","24","24","346","346","346"
"696000","24","24","24","347","347","347"
"698000","24","24","24","348","348","348"
"700000","24","24","24","349","349","349"
"702000","24","24","24","350","350","350"
"704000","24","24","24","351","351","351"
"706000","24","24","24","352","352","352"
"708000","24","24","24","353","353","353"
"710000","24","24","24","354","354","354"
"712000","24","24","24","355","355","355"
"714000","24","24","24","356","356","356"
"716000","24","24","24","357","357","357"
"718000","24","24","24","358","358","358"
"720000","25","25","25","359","359","359"
"722000","25","25","25","360","360","360"
"724000","25","25","25","361","361","361"
"726000","25","25","25","362","362","362"
"728000","25","25","25","363","363","363"
"730000","25","25","25","364","364","364"
"732000","25","25","25","365","365","365"
"734000","25","25","25","366","366","366"
"736000","25","25","25","367","367","367"
"738000","25","25","25","368","368","368"
"740000","25","25","25","369","369","369"
"742000","25","25","25","370","370","370"
