"global_step","251221_DQN - train/final_episode_iou","251221_DQN - train/final_episode_iou__MIN","251221_DQN - train/final_episode_iou__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"114000","0.5185216665267944","0.5185216665267944","0.5185216665267944","56","56","56"
"116000","0.4130343794822693","0.4130343794822693","0.4130343794822693","57","57","57"
"118000","0.05971479415893555","0.05971479415893555","0.05971479415893555","58","58","58"
"120000","0.3382956087589264","0.3382956087589264","0.3382956087589264","59","59","59"
"122000","0.39586499333381653","0.39586499333381653","0.39586499333381653","60","60","60"
"124000","0.3413746953010559","0.3413746953010559","0.3413746953010559","61","61","61"
"126000","0.2940678000450134","0.2940678000450134","0.2940678000450134","62","62","62"
"128000","0.5286406874656677","0.5286406874656677","0.5286406874656677","63","63","63"
"130000","0.23273803293704987","0.23273803293704987","0.23273803293704987","64","64","64"
"132000","0.24725355207920074","0.24725355207920074","0.24725355207920074","65","65","65"
"134000","0.05584358051419258","0.05584358051419258","0.05584358051419258","66","66","66"
"136000","0.4097013473510742","0.4097013473510742","0.4097013473510742","67","67","67"
"138000","0.41165468096733093","0.41165468096733093","0.41165468096733093","68","68","68"
"140000","0.3710475265979767","0.3710475265979767","0.3710475265979767","69","69","69"
"142000","0.4414888322353363","0.4414888322353363","0.4414888322353363","70","70","70"
"144000","0.2776206433773041","0.2776206433773041","0.2776206433773041","71","71","71"
"146000","0.3483518362045288","0.3483518362045288","0.3483518362045288","72","72","72"
"148000","0.29966750741004944","0.29966750741004944","0.29966750741004944","73","73","73"
"150000","0.25309228897094727","0.25309228897094727","0.25309228897094727","74","74","74"
"152000","0.4528936743736267","0.4528936743736267","0.4528936743736267","75","75","75"
"154000","0.3395489752292633","0.3395489752292633","0.3395489752292633","76","76","76"
"156000","0.49187278747558594","0.49187278747558594","0.49187278747558594","77","77","77"
"158000","0.32540664076805115","0.32540664076805115","0.32540664076805115","78","78","78"
"160000","0.4580865204334259","0.4580865204334259","0.4580865204334259","79","79","79"
"162000","0.40197449922561646","0.40197449922561646","0.40197449922561646","80","80","80"
