"global_step","251221_DQN - train/final_pos_count","251221_DQN - train/final_pos_count__MIN","251221_DQN - train/final_pos_count__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"860000","9","9","9","429","429","429"
"862000","10","10","10","430","430","430"
"864000","13","13","13","431","431","431"
"866000","6","6","6","432","432","432"
"868000","10","10","10","433","433","433"
"870000","13","13","13","434","434","434"
"872000","9","9","9","435","435","435"
"874000","15","15","15","436","436","436"
"876000","14","14","14","437","437","437"
"878000","11","11","11","438","438","438"
"880000","15","15","15","439","439","439"
"882000","14","14","14","440","440","440"
"884000","10","10","10","441","441","441"
"886000","15","15","15","442","442","442"
"888000","14","14","14","443","443","443"
"890000","3","3","3","444","444","444"
"892000","14","14","14","445","445","445"
"894000","5","5","5","446","446","446"
"896000","11","11","11","447","447","447"
"898000","15","15","15","448","448","448"
"900000","15","15","15","449","449","449"
"902000","12","12","12","450","450","450"
"904000","15","15","15","451","451","451"
"906000","15","15","15","452","452","452"
"908000","11","11","11","453","453","453"
"910000","15","15","15","454","454","454"
"912000","6","6","6","455","455","455"
"914000","15","15","15","456","456","456"
"916000","15","15","15","457","457","457"
"918000","15","15","15","458","458","458"
"920000","15","15","15","459","459","459"
"922000","3","3","3","460","460","460"
"924000","4","4","4","461","461","461"
"926000","14","14","14","462","462","462"
"928000","9","9","9","463","463","463"
"930000","11","11","11","464","464","464"
"932000","15","15","15","465","465","465"
"934000","13","13","13","466","466","466"
"936000","15","15","15","467","467","467"
"938000","15","15","15","468","468","468"
"940000","15","15","15","469","469","469"
"942000","15","15","15","470","470","470"
"944000","12","12","12","471","471","471"
"946000","13","13","13","472","472","472"
"948000","4","4","4","473","473","473"
"950000","7","7","7","474","474","474"
"952000","13","13","13","475","475","475"
"954000","14","14","14","476","476","476"
"956000","13","13","13","477","477","477"
"958000","13","13","13","478","478","478"
"960000","15","15","15","479","479","479"
"962000","15","15","15","480","480","480"
"964000","15","15","15","481","481","481"
"966000","15","15","15","482","482","482"
"968000","9","9","9","483","483","483"
"970000","7","7","7","484","484","484"
"972000","15","15","15","485","485","485"
"974000","3","3","3","486","486","486"
"976000","14","14","14","487","487","487"
"978000","15","15","15","488","488","488"
"980000","3","3","3","489","489","489"
"982000","14","14","14","490","490","490"
"984000","7","7","7","491","491","491"
"986000","15","15","15","492","492","492"
"988000","12","12","12","493","493","493"
"990000","14","14","14","494","494","494"
"992000","14","14","14","495","495","495"
"994000","7","7","7","496","496","496"
"996000","7","7","7","497","497","497"
"998000","12","12","12","498","498","498"
"1000000","13","13","13","499","499","499"
"1002000","15","15","15","500","500","500"
"1004000","15","15","15","501","501","501"
"1006000","5","5","5","502","502","502"
"1008000","15","15","15","503","503","503"
"1010000","7","7","7","504","504","504"
"1012000","15","15","15","505","505","505"
"1014000","15","15","15","506","506","506"
"1016000","15","15","15","507","507","507"
"1018000","15","15","15","508","508","508"
"1020000","9","9","9","509","509","509"
"1022000","6","6","6","510","510","510"
"1024000","3","3","3","511","511","511"
"1026000","13","13","13","512","512","512"
"1028000","14","14","14","513","513","513"
"1030000","13","13","13","514","514","514"
"1032000","14","14","14","515","515","515"
"1034000","15","15","15","516","516","516"
"1036000","15","15","15","517","517","517"
"1038000","15","15","15","518","518","518"
"1040000","15","15","15","519","519","519"
"1042000","14","14","14","520","520","520"
"1044000","12","12","12","521","521","521"
"1046000","15","15","15","522","522","522"
"1048000","15","15","15","523","523","523"
"1050000","12","12","12","524","524","524"
"1052000","8","8","8","525","525","525"
"1054000","10","10","10","526","526","526"
"1056000","11","11","11","527","527","527"
"1058000","4","4","4","528","528","528"
"1060000","3","3","3","529","529","529"
"1062000","15","15","15","530","530","530"
"1064000","14","14","14","531","531","531"
"1066000","3","3","3","532","532","532"
"1068000","10","10","10","533","533","533"
"1070000","12","12","12","534","534","534"
"1072000","13","13","13","535","535","535"
"1074000","10","10","10","536","536","536"
"1076000","9","9","9","537","537","537"
"1078000","3","3","3","538","538","538"
"1080000","12","12","12","539","539","539"
"1082000","8","8","8","540","540","540"
"1084000","14","14","14","541","541","541"
"1086000","14","14","14","542","542","542"
"1088000","15","15","15","543","543","543"
"1090000","8","8","8","544","544","544"
"1092000","15","15","15","545","545","545"
"1094000","3","3","3","546","546","546"
"1096000","3","3","3","547","547","547"
"1098000","11","11","11","548","548","548"
"1100000","3","3","3","549","549","549"
"1102000","4","4","4","550","550","550"
"1104000","3","3","3","551","551","551"
"1106000","3","3","3","552","552","552"
"1108000","4","4","4","553","553","553"
"1110000","11","11","11","554","554","554"
"1112000","15","15","15","555","555","555"
"1114000","7","7","7","556","556","556"
"1116000","14","14","14","557","557","557"
"1118000","11","11","11","558","558","558"
"1120000","10","10","10","559","559","559"
"1122000","11","11","11","560","560","560"
"1124000","13","13","13","561","561","561"
"1126000","3","3","3","562","562","562"
"1128000","5","5","5","563","563","563"
"1130000","3","3","3","564","564","564"
"1132000","3","3","3","565","565","565"
"1134000","8","8","8","566","566","566"
"1136000","7","7","7","567","567","567"
"1138000","10","10","10","568","568","568"
"1140000","11","11","11","569","569","569"
"1142000","13","13","13","570","570","570"
"1144000","5","5","5","571","571","571"
"1146000","9","9","9","572","572","572"
"1148000","3","3","3","573","573","573"
"1150000","15","15","15","574","574","574"
"1152000","3","3","3","575","575","575"
"1154000","3","3","3","576","576","576"
"1156000","15","15","15","577","577","577"
"1158000","15","15","15","578","578","578"
"1160000","4","4","4","579","579","579"
"1162000","13","13","13","580","580","580"
"1164000","9","9","9","581","581","581"
"1166000","5","5","5","582","582","582"
"1168000","9","9","9","583","583","583"
"1170000","9","9","9","584","584","584"
"1172000","11","11","11","585","585","585"
"1174000","3","3","3","586","586","586"
"1176000","12","12","12","587","587","587"
"1178000","13","13","13","588","588","588"
"1180000","3","3","3","589","589","589"
"1182000","8","8","8","590","590","590"
"1184000","15","15","15","591","591","591"
"1186000","14","14","14","592","592","592"
"1188000","13","13","13","593","593","593"
"1190000","3","3","3","594","594","594"
"1192000","10","10","10","595","595","595"
"1194000","3","3","3","596","596","596"
"1196000","15","15","15","597","597","597"
"1198000","12","12","12","598","598","598"
"1200000","5","5","5","599","599","599"
"1202000","8","8","8","600","600","600"
"1204000","8","8","8","601","601","601"
"1206000","5","5","5","602","602","602"
"1208000","12","12","12","603","603","603"
"1210000","7","7","7","604","604","604"
"1212000","3","3","3","605","605","605"
"1214000","9","9","9","606","606","606"
"1216000","13","13","13","607","607","607"
"1218000","3","3","3","608","608","608"
"1220000","13","13","13","609","609","609"
"1222000","14","14","14","610","610","610"
"1224000","3","3","3","611","611","611"
"1226000","3","3","3","612","612","612"
"1228000","9","9","9","613","613","613"
"1230000","3","3","3","614","614","614"
"1232000","15","15","15","615","615","615"
"1234000","3","3","3","616","616","616"
"1236000","15","15","15","617","617","617"
"1238000","15","15","15","618","618","618"
"1240000","14","14","14","619","619","619"
"1242000","3","3","3","620","620","620"
"1244000","13","13","13","621","621","621"
"1246000","13","13","13","622","622","622"
"1248000","5","5","5","623","623","623"
"1250000","13","13","13","624","624","624"
"1252000","14","14","14","625","625","625"
"1254000","4","4","4","626","626","626"
"1256000","14","14","14","627","627","627"
"1258000","12","12","12","628","628","628"
"1260000","10","10","10","629","629","629"
"1262000","15","15","15","630","630","630"
"1264000","3","3","3","631","631","631"
"1266000","13","13","13","632","632","632"
"1268000","3","3","3","633","633","633"
"1270000","12","12","12","634","634","634"
"1272000","15","15","15","635","635","635"
"1274000","14","14","14","636","636","636"
"1276000","6","6","6","637","637","637"
"1278000","15","15","15","638","638","638"
"1280000","12","12","12","639","639","639"
"1282000","11","11","11","640","640","640"
"1284000","3","3","3","641","641","641"
"1286000","15","15","15","642","642","642"
"1288000","9","9","9","643","643","643"
"1290000","3","3","3","644","644","644"
"1292000","6","6","6","645","645","645"
"1294000","3","3","3","646","646","646"
"1296000","11","11","11","647","647","647"
"1298000","7","7","7","648","648","648"
"1300000","13","13","13","649","649","649"
"1302000","6","6","6","650","650","650"
"1304000","6","6","6","651","651","651"
"1306000","9","9","9","652","652","652"
"1308000","3","3","3","653","653","653"
"1310000","3","3","3","654","654","654"
"1312000","15","15","15","655","655","655"
"1314000","6","6","6","656","656","656"
"1316000","15","15","15","657","657","657"
"1318000","15","15","15","658","658","658"
"1320000","14","14","14","659","659","659"
"1322000","3","3","3","660","660","660"
"1324000","15","15","15","661","661","661"
"1326000","15","15","15","662","662","662"
"1328000","3","3","3","663","663","663"
"1330000","14","14","14","664","664","664"
"1332000","15","15","15","665","665","665"
"1334000","12","12","12","666","666","666"
"1336000","14","14","14","667","667","667"
"1338000","5","5","5","668","668","668"
"1340000","15","15","15","669","669","669"
"1342000","4","4","4","670","670","670"
"1344000","6","6","6","671","671","671"
"1346000","11","11","11","672","672","672"
"1348000","14","14","14","673","673","673"
"1350000","15","15","15","674","674","674"
"1352000","15","15","15","675","675","675"
"1354000","15","15","15","676","676","676"
"1356000","15","15","15","677","677","677"
"1358000","15","15","15","678","678","678"
"1360000","3","3","3","679","679","679"
"1362000","15","15","15","680","680","680"
"1364000","7","7","7","681","681","681"
"1366000","15","15","15","682","682","682"
"1368000","3","3","3","683","683","683"
"1370000","14","14","14","684","684","684"
"1372000","11","11","11","685","685","685"
"1374000","15","15","15","686","686","686"
"1376000","15","15","15","687","687","687"
"1378000","5","5","5","688","688","688"
"1380000","7","7","7","689","689","689"
"1382000","13","13","13","690","690","690"
"1384000","15","15","15","691","691","691"
"1386000","8","8","8","692","692","692"
"1388000","4","4","4","693","693","693"
"1390000","15","15","15","694","694","694"
"1392000","15","15","15","695","695","695"
"1394000","14","14","14","696","696","696"
"1396000","4","4","4","697","697","697"
"1398000","12","12","12","698","698","698"
"1400000","15","15","15","699","699","699"
"1402000","13","13","13","700","700","700"
"1404000","9","9","9","701","701","701"
"1406000","10","10","10","702","702","702"
"1408000","9","9","9","703","703","703"
"1410000","7","7","7","704","704","704"
"1412000","9","9","9","705","705","705"
"1414000","3","3","3","706","706","706"
"1416000","3","3","3","707","707","707"
"1418000","10","10","10","708","708","708"
"1420000","14","14","14","709","709","709"
"1422000","14","14","14","710","710","710"
"1424000","7","7","7","711","711","711"
"1426000","15","15","15","712","712","712"
"1428000","6","6","6","713","713","713"
"1430000","4","4","4","714","714","714"
"1432000","15","15","15","715","715","715"
"1434000","15","15","15","716","716","716"
"1436000","14","14","14","717","717","717"
"1438000","11","11","11","718","718","718"
"1440000","9","9","9","719","719","719"
"1442000","3","3","3","720","720","720"
"1444000","3","3","3","721","721","721"
"1446000","12","12","12","722","722","722"
"1448000","15","15","15","723","723","723"
"1450000","15","15","15","724","724","724"
"1452000","13","13","13","725","725","725"
"1454000","15","15","15","726","726","726"
"1456000","14","14","14","727","727","727"
"1458000","15","15","15","728","728","728"
"1460000","15","15","15","729","729","729"
"1462000","10","10","10","730","730","730"
"1464000","4","4","4","731","731","731"
"1466000","14","14","14","732","732","732"
"1468000","6","6","6","733","733","733"
"1470000","3","3","3","734","734","734"
"1472000","14","14","14","735","735","735"
"1474000","15","15","15","736","736","736"
"1476000","6","6","6","737","737","737"
"1478000","15","15","15","738","738","738"
"1480000","15","15","15","739","739","739"
"1482000","7","7","7","740","740","740"
"1484000","14","14","14","741","741","741"
"1486000","15","15","15","742","742","742"
"1488000","13","13","13","743","743","743"
"1490000","14","14","14","744","744","744"
"1492000","15","15","15","745","745","745"
"1494000","15","15","15","746","746","746"
"1496000","13","13","13","747","747","747"
"1498000","8","8","8","749","749","749"
"1500000","14","14","14","750","750","750"
