"global_step","251221_DQN - train/final_neg_count","251221_DQN - train/final_neg_count__MIN","251221_DQN - train/final_neg_count__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"530000","3","3","3","264","264","264"
"532000","6","6","6","265","265","265"
"534000","3","3","3","266","266","266"
"536000","3","3","3","267","267","267"
"538000","14","14","14","268","268","268"
"540000","10","10","10","269","269","269"
"542000","8","8","8","270","270","270"
"544000","5","5","5","271","271","271"
"546000","5","5","5","272","272","272"
"548000","4","4","4","273","273","273"
"550000","3","3","3","274","274","274"
"552000","4","4","4","275","275","275"
"554000","11","11","11","276","276","276"
"556000","8","8","8","277","277","277"
"558000","3","3","3","278","278","278"
"560000","10","10","10","279","279","279"
"562000","3","3","3","280","280","280"
"564000","13","13","13","281","281","281"
"566000","13","13","13","282","282","282"
"568000","6","6","6","283","283","283"
"570000","3","3","3","284","284","284"
"572000","14","14","14","285","285","285"
"574000","10","10","10","286","286","286"
"576000","3","3","3","287","287","287"
"578000","15","15","15","288","288","288"
"580000","6","6","6","289","289","289"
"582000","9","9","9","290","290","290"
"584000","3","3","3","291","291","291"
"586000","6","6","6","292","292","292"
"588000","4","4","4","293","293","293"
"590000","7","7","7","294","294","294"
"592000","3","3","3","295","295","295"
"594000","6","6","6","296","296","296"
"596000","4","4","4","297","297","297"
"598000","3","3","3","298","298","298"
"600000","11","11","11","299","299","299"
"602000","14","14","14","300","300","300"
"604000","3","3","3","301","301","301"
"606000","14","14","14","302","302","302"
"608000","12","12","12","303","303","303"
"610000","5","5","5","304","304","304"
"612000","15","15","15","305","305","305"
"614000","13","13","13","306","306","306"
"616000","12","12","12","307","307","307"
"618000","6","6","6","308","308","308"
"620000","15","15","15","309","309","309"
"622000","5","5","5","310","310","310"
"624000","8","8","8","311","311","311"
"626000","3","3","3","312","312","312"
"628000","6","6","6","313","313","313"
"630000","4","4","4","314","314","314"
"632000","12","12","12","315","315","315"
"634000","12","12","12","316","316","316"
"636000","12","12","12","317","317","317"
"638000","3","3","3","318","318","318"
"640000","6","6","6","319","319","319"
"642000","7","7","7","320","320","320"
"644000","4","4","4","321","321","321"
"646000","6","6","6","322","322","322"
"648000","6","6","6","323","323","323"
"650000","15","15","15","324","324","324"
"652000","10","10","10","325","325","325"
"654000","9","9","9","326","326","326"
"656000","5","5","5","327","327","327"
"658000","3","3","3","328","328","328"
"660000","13","13","13","329","329","329"
"662000","3","3","3","330","330","330"
"664000","13","13","13","331","331","331"
"666000","14","14","14","332","332","332"
"668000","14","14","14","333","333","333"
"670000","7","7","7","334","334","334"
"672000","11","11","11","335","335","335"
"674000","6","6","6","336","336","336"
"676000","8","8","8","337","337","337"
"678000","3","3","3","338","338","338"
"680000","3","3","3","339","339","339"
"682000","10","10","10","340","340","340"
"684000","6","6","6","341","341","341"
"686000","5","5","5","342","342","342"
"688000","5","5","5","343","343","343"
"690000","13","13","13","344","344","344"
"692000","4","4","4","345","345","345"
"694000","13","13","13","346","346","346"
"696000","4","4","4","347","347","347"
"698000","4","4","4","348","348","348"
"700000","11","11","11","349","349","349"
"702000","6","6","6","350","350","350"
"704000","8","8","8","351","351","351"
"706000","8","8","8","352","352","352"
"708000","7","7","7","353","353","353"
"710000","14","14","14","354","354","354"
"712000","13","13","13","355","355","355"
"714000","12","12","12","356","356","356"
"716000","3","3","3","357","357","357"
"718000","3","3","3","358","358","358"
"720000","11","11","11","359","359","359"
"722000","6","6","6","360","360","360"
"724000","11","11","11","361","361","361"
"726000","4","4","4","362","362","362"
"728000","6","6","6","363","363","363"
"730000","3","3","3","364","364","364"
"732000","13","13","13","365","365","365"
"734000","4","4","4","366","366","366"
"736000","3","3","3","367","367","367"
"738000","10","10","10","368","368","368"
"740000","11","11","11","369","369","369"
"742000","3","3","3","370","370","370"
"744000","5","5","5","371","371","371"
"746000","9","9","9","372","372","372"
"748000","6","6","6","373","373","373"
"750000","11","11","11","374","374","374"
"752000","14","14","14","375","375","375"
"754000","4","4","4","376","376","376"
"756000","6","6","6","377","377","377"
"758000","4","4","4","378","378","378"
"760000","3","3","3","379","379","379"
"762000","10","10","10","380","380","380"
"764000","5","5","5","381","381","381"
"766000","3","3","3","382","382","382"
"768000","4","4","4","383","383","383"
"770000","3","3","3","384","384","384"
"772000","7","7","7","385","385","385"
"774000","3","3","3","386","386","386"
"776000","6","6","6","387","387","387"
"778000","13","13","13","388","388","388"
"780000","3","3","3","389","389","389"
"782000","13","13","13","390","390","390"
"784000","3","3","3","391","391","391"
"786000","5","5","5","392","392","392"
"788000","5","5","5","393","393","393"
"790000","3","3","3","394","394","394"
"792000","13","13","13","395","395","395"
"794000","3","3","3","396","396","396"
"796000","10","10","10","397","397","397"
"798000","13","13","13","398","398","398"
"800000","15","15","15","399","399","399"
"802000","3","3","3","400","400","400"
"804000","6","6","6","401","401","401"
"806000","5","5","5","402","402","402"
"808000","6","6","6","403","403","403"
"810000","7","7","7","404","404","404"
"812000","3","3","3","405","405","405"
"814000","3","3","3","406","406","406"
"816000","3","3","3","407","407","407"
"818000","11","11","11","408","408","408"
"820000","3","3","3","409","409","409"
"822000","4","4","4","410","410","410"
"824000","8","8","8","411","411","411"
"826000","7","7","7","412","412","412"
"828000","14","14","14","413","413","413"
"830000","5","5","5","414","414","414"
"832000","4","4","4","415","415","415"
"834000","3","3","3","416","416","416"
"836000","3","3","3","417","417","417"
"838000","4","4","4","418","418","418"
"840000","4","4","4","419","419","419"
"842000","10","10","10","420","420","420"
"844000","3","3","3","421","421","421"
"846000","4","4","4","422","422","422"
"848000","3","3","3","423","423","423"
"850000","13","13","13","424","424","424"
"852000","3","3","3","425","425","425"
"854000","5","5","5","426","426","426"
"856000","13","13","13","427","427","427"
"858000","8","8","8","428","428","428"
"860000","12","12","12","429","429","429"
"862000","4","4","4","430","430","430"
"864000","4","4","4","431","431","431"
"866000","3","3","3","432","432","432"
"868000","6","6","6","433","433","433"
"870000","9","9","9","434","434","434"
"872000","11","11","11","435","435","435"
"874000","3","3","3","436","436","436"
"876000","3","3","3","437","437","437"
"878000","4","4","4","438","438","438"
"880000","5","5","5","439","439","439"
"882000","3","3","3","440","440","440"
"884000","13","13","13","441","441","441"
"886000","3","3","3","442","442","442"
"888000","13","13","13","443","443","443"
"890000","8","8","8","444","444","444"
"892000","4","4","4","445","445","445"
"894000","6","6","6","446","446","446"
"896000","10","10","10","447","447","447"
"898000","3","3","3","448","448","448"
"900000","4","4","4","449","449","449"
"902000","10","10","10","450","450","450"
"904000","8","8","8","451","451","451"
"906000","4","4","4","452","452","452"
"908000","6","6","6","453","453","453"
"910000","5","5","5","454","454","454"
"912000","15","15","15","455","455","455"
"914000","3","3","3","456","456","456"
"916000","5","5","5","457","457","457"
"918000","4","4","4","458","458","458"
"920000","8","8","8","459","459","459"
"922000","15","15","15","460","460","460"
"924000","14","14","14","461","461","461"
"926000","3","3","3","462","462","462"
"928000","14","14","14","463","463","463"
"930000","6","6","6","464","464","464"
"932000","3","3","3","465","465","465"
"934000","5","5","5","466","466","466"
"936000","6","6","6","467","467","467"
"938000","3","3","3","468","468","468"
"940000","3","3","3","469","469","469"
"942000","5","5","5","470","470","470"
"944000","8","8","8","471","471","471"
"946000","13","13","13","472","472","472"
"948000","14","14","14","473","473","473"
"950000","3","3","3","474","474","474"
"952000","7","7","7","475","475","475"
"954000","9","9","9","476","476","476"
"956000","3","3","3","477","477","477"
"958000","12","12","12","478","478","478"
"960000","9","9","9","479","479","479"
"962000","3","3","3","480","480","480"
"964000","3","3","3","481","481","481"
"966000","4","4","4","482","482","482"
"968000","14","14","14","483","483","483"
"970000","3","3","3","484","484","484"
"972000","10","10","10","485","485","485"
"974000","3","3","3","486","486","486"
"976000","10","10","10","487","487","487"
"978000","5","5","5","488","488","488"
"980000","15","15","15","489","489","489"
"982000","3","3","3","490","490","490"
"984000","6","6","6","491","491","491"
"986000","5","5","5","492","492","492"
"988000","7","7","7","493","493","493"
"990000","3","3","3","494","494","494"
"992000","3","3","3","495","495","495"
"994000","6","6","6","496","496","496"
"996000","11","11","11","497","497","497"
"998000","8","8","8","498","498","498"
"1000000","3","3","3","499","499","499"
"1002000","3","3","3","500","500","500"
"1004000","8","8","8","501","501","501"
"1006000","3","3","3","502","502","502"
"1008000","5","5","5","503","503","503"
"1010000","7","7","7","504","504","504"
"1012000","6","6","6","505","505","505"
"1014000","5","5","5","506","506","506"
"1016000","5","5","5","507","507","507"
"1018000","6","6","6","508","508","508"
"1020000","3","3","3","509","509","509"
"1022000","4","4","4","510","510","510"
"1024000","12","12","12","511","511","511"
"1026000","15","15","15","512","512","512"
"1028000","3","3","3","513","513","513"
"1030000","11","11","11","514","514","514"
"1032000","6","6","6","515","515","515"
"1034000","3","3","3","516","516","516"
"1036000","10","10","10","517","517","517"
"1038000","9","9","9","518","518","518"
"1040000","9","9","9","519","519","519"
"1042000","3","3","3","520","520","520"
"1044000","8","8","8","521","521","521"
"1046000","3","3","3","522","522","522"
"1048000","13","13","13","523","523","523"
"1050000","3","3","3","524","524","524"
"1052000","8","8","8","525","525","525"
"1054000","3","3","3","526","526","526"
"1056000","5","5","5","527","527","527"
"1058000","4","4","4","528","528","528"
"1060000","3","3","3","529","529","529"
"1062000","7","7","7","530","530","530"
"1064000","6","6","6","531","531","531"
"1066000","5","5","5","532","532","532"
"1068000","12","12","12","533","533","533"
"1070000","12","12","12","534","534","534"
"1072000","5","5","5","535","535","535"
"1074000","7","7","7","536","536","536"
"1076000","13","13","13","537","537","537"
"1078000","15","15","15","538","538","538"
"1080000","7","7","7","539","539","539"
"1082000","13","13","13","540","540","540"
"1084000","4","4","4","541","541","541"
"1086000","3","3","3","542","542","542"
"1088000","5","5","5","543","543","543"
"1090000","3","3","3","544","544","544"
"1092000","4","4","4","545","545","545"
"1094000","7","7","7","546","546","546"
"1096000","8","8","8","547","547","547"
"1098000","7","7","7","548","548","548"
"1100000","5","5","5","549","549","549"
"1102000","3","3","3","550","550","550"
"1104000","5","5","5","551","551","551"
"1106000","5","5","5","552","552","552"
"1108000","3","3","3","553","553","553"
"1110000","5","5","5","554","554","554"
"1112000","3","3","3","555","555","555"
"1114000","4","4","4","556","556","556"
"1116000","7","7","7","557","557","557"
"1118000","4","4","4","558","558","558"
"1120000","4","4","4","559","559","559"
"1122000","11","11","11","560","560","560"
"1124000","3","3","3","561","561","561"
"1126000","6","6","6","562","562","562"
"1128000","13","13","13","563","563","563"
"1130000","15","15","15","564","564","564"
"1132000","7","7","7","565","565","565"
"1134000","13","13","13","566","566","566"
"1136000","15","15","15","567","567","567"
"1138000","5","5","5","568","568","568"
"1140000","3","3","3","569","569","569"
"1142000","13","13","13","570","570","570"
"1144000","13","13","13","571","571","571"
"1146000","15","15","15","572","572","572"
"1148000","14","14","14","573","573","573"
"1150000","4","4","4","574","574","574"
"1152000","15","15","15","575","575","575"
"1154000","12","12","12","576","576","576"
"1156000","3","3","3","577","577","577"
"1158000","3","3","3","578","578","578"
"1160000","6","6","6","579","579","579"
"1162000","5","5","5","580","580","580"
"1164000","15","15","15","581","581","581"
"1166000","12","12","12","582","582","582"
"1168000","14","14","14","583","583","583"
"1170000","13","13","13","584","584","584"
"1172000","8","8","8","585","585","585"
"1174000","15","15","15","586","586","586"
"1176000","3","3","3","587","587","587"
"1178000","5","5","5","588","588","588"
"1180000","14","14","14","589","589","589"
"1182000","3","3","3","590","590","590"
"1184000","5","5","5","591","591","591"
"1186000","8","8","8","592","592","592"
"1188000","8","8","8","593","593","593"
"1190000","3","3","3","594","594","594"
"1192000","13","13","13","595","595","595"
"1194000","14","14","14","596","596","596"
"1196000","8","8","8","597","597","597"
"1198000","12","12","12","598","598","598"
"1200000","12","12","12","599","599","599"
"1202000","4","4","4","600","600","600"
"1204000","14","14","14","601","601","601"
"1206000","3","3","3","602","602","602"
