"global_step","251221_DQN - train/final_feat_cross","251221_DQN - train/final_feat_cross__MIN","251221_DQN - train/final_feat_cross__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"324000","1.876842737197876","1.876842737197876","1.876842737197876","161","161","161"
"326000","1.6712353229522705","1.6712353229522705","1.6712353229522705","162","162","162"
"328000","1.9490529298782349","1.9490529298782349","1.9490529298782349","163","163","163"
"330000","2.059326171875","2.059326171875","2.059326171875","164","164","164"
"332000","1.9898637533187866","1.9898637533187866","1.9898637533187866","165","165","165"
"334000","1.9582735300064087","1.9582735300064087","1.9582735300064087","166","166","166"
"336000","2.0311379432678223","2.0311379432678223","2.0311379432678223","167","167","167"
"338000","1.9451690912246704","1.9451690912246704","1.9451690912246704","168","168","168"
"340000","1.733099102973938","1.733099102973938","1.733099102973938","169","169","169"
"342000","1.644027829170227","1.644027829170227","1.644027829170227","170","170","170"
"344000","2.1214821338653564","2.1214821338653564","2.1214821338653564","171","171","171"
"346000","1.9555424451828003","1.9555424451828003","1.9555424451828003","172","172","172"
"348000","2.041968584060669","2.041968584060669","2.041968584060669","173","173","173"
"350000","1.811888575553894","1.811888575553894","1.811888575553894","174","174","174"
"352000","2.018066167831421","2.018066167831421","2.018066167831421","175","175","175"
"354000","1.4780046939849854","1.4780046939849854","1.4780046939849854","176","176","176"
"356000","1.9796888828277588","1.9796888828277588","1.9796888828277588","177","177","177"
"358000","1.6947486400604248","1.6947486400604248","1.6947486400604248","178","178","178"
"360000","2.0292909145355225","2.0292909145355225","2.0292909145355225","179","179","179"
"362000","1.9209210872650146","1.9209210872650146","1.9209210872650146","180","180","180"
"364000","1.9560191631317139","1.9560191631317139","1.9560191631317139","181","181","181"
"366000","1.9210031032562256","1.9210031032562256","1.9210031032562256","182","182","182"
"368000","2.3189339637756348","2.3189339637756348","2.3189339637756348","183","183","183"
"370000","2.209256410598755","2.209256410598755","2.209256410598755","184","184","184"
"372000","1.9475306272506714","1.9475306272506714","1.9475306272506714","185","185","185"
"374000","1.995741367340088","1.995741367340088","1.995741367340088","186","186","186"
"376000","1.637056589126587","1.637056589126587","1.637056589126587","187","187","187"
"378000","2.0904555320739746","2.0904555320739746","2.0904555320739746","188","188","188"
"380000","2.099393606185913","2.099393606185913","2.099393606185913","189","189","189"
"382000","2.115030527114868","2.115030527114868","2.115030527114868","190","190","190"
"384000","1.977102279663086","1.977102279663086","1.977102279663086","191","191","191"
"386000","2.0992541313171387","2.0992541313171387","2.0992541313171387","192","192","192"
"388000","1.9902418851852417","1.9902418851852417","1.9902418851852417","193","193","193"
"390000","1.9891060590744019","1.9891060590744019","1.9891060590744019","194","194","194"
"392000","2.0784213542938232","2.0784213542938232","2.0784213542938232","195","195","195"
"394000","1.9889882802963257","1.9889882802963257","1.9889882802963257","196","196","196"
"396000","2.2693026065826416","2.2693026065826416","2.2693026065826416","197","197","197"
"398000","2.0375895500183105","2.0375895500183105","2.0375895500183105","198","198","198"
"400000","2.1012730598449707","2.1012730598449707","2.1012730598449707","199","199","199"
"402000","2.0970828533172607","2.0970828533172607","2.0970828533172607","200","200","200"
"404000","1.7707065343856812","1.7707065343856812","1.7707065343856812","201","201","201"
"406000","1.6343919038772583","1.6343919038772583","1.6343919038772583","202","202","202"
"408000","2.1986045837402344","2.1986045837402344","2.1986045837402344","203","203","203"
"410000","2.0581753253936768","2.0581753253936768","2.0581753253936768","204","204","204"
"412000","1.9829728603363037","1.9829728603363037","1.9829728603363037","205","205","205"
"414000","2.09344482421875","2.09344482421875","2.09344482421875","206","206","206"
"416000","1.6090519428253174","1.6090519428253174","1.6090519428253174","207","207","207"
"418000","2.077476739883423","2.077476739883423","2.077476739883423","208","208","208"
"420000","2.0057311058044434","2.0057311058044434","2.0057311058044434","209","209","209"
"422000","1.4758963584899902","1.4758963584899902","1.4758963584899902","210","210","210"
"424000","2.062556266784668","2.062556266784668","2.062556266784668","211","211","211"
"426000","2.1610631942749023","2.1610631942749023","2.1610631942749023","212","212","212"
"428000","1.96076500415802","1.96076500415802","1.96076500415802","213","213","213"
"430000","2.1758217811584473","2.1758217811584473","2.1758217811584473","214","214","214"
"432000","2.071298360824585","2.071298360824585","2.071298360824585","215","215","215"
"434000","2.1096558570861816","2.1096558570861816","2.1096558570861816","216","216","216"
"436000","2.0773627758026123","2.0773627758026123","2.0773627758026123","217","217","217"
"438000","2.0224437713623047","2.0224437713623047","2.0224437713623047","218","218","218"
"440000","2.0025112628936768","2.0025112628936768","2.0025112628936768","219","219","219"
"442000","2.027054786682129","2.027054786682129","2.027054786682129","220","220","220"
"444000","2.2050697803497314","2.2050697803497314","2.2050697803497314","221","221","221"
"446000","1.768907904624939","1.768907904624939","1.768907904624939","222","222","222"
"448000","1.4426406621932983","1.4426406621932983","1.4426406621932983","223","223","223"
"450000","2.1856114864349365","2.1856114864349365","2.1856114864349365","224","224","224"
"452000","2.0216572284698486","2.0216572284698486","2.0216572284698486","225","225","225"
"454000","1.6678189039230347","1.6678189039230347","1.6678189039230347","226","226","226"
"456000","2.164372205734253","2.164372205734253","2.164372205734253","227","227","227"
"458000","2.0812342166900635","2.0812342166900635","2.0812342166900635","228","228","228"
"460000","2.2410175800323486","2.2410175800323486","2.2410175800323486","229","229","229"
"462000","1.6023350954055786","1.6023350954055786","1.6023350954055786","230","230","230"
"464000","1.6384735107421875","1.6384735107421875","1.6384735107421875","231","231","231"
"466000","1.573248028755188","1.573248028755188","1.573248028755188","232","232","232"
"468000","2.0203309059143066","2.0203309059143066","2.0203309059143066","233","233","233"
"470000","1.9653117656707764","1.9653117656707764","1.9653117656707764","234","234","234"
"472000","2.0799477100372314","2.0799477100372314","2.0799477100372314","235","235","235"
"474000","2.02815580368042","2.02815580368042","2.02815580368042","236","236","236"
"476000","2.190438747406006","2.190438747406006","2.190438747406006","237","237","237"
"478000","2.078097343444824","2.078097343444824","2.078097343444824","238","238","238"
"480000","1.8833401203155518","1.8833401203155518","1.8833401203155518","239","239","239"
"482000","2.013564348220825","2.013564348220825","2.013564348220825","240","240","240"
"484000","1.8478413820266724","1.8478413820266724","1.8478413820266724","241","241","241"
"486000","2.1417958736419678","2.1417958736419678","2.1417958736419678","242","242","242"
"488000","2.2101426124572754","2.2101426124572754","2.2101426124572754","243","243","243"
"490000","1.9213361740112305","1.9213361740112305","1.9213361740112305","244","244","244"
"492000","1.9327363967895508","1.9327363967895508","1.9327363967895508","245","245","245"
"494000","1.7715779542922974","1.7715779542922974","1.7715779542922974","246","246","246"
"496000","2.0344598293304443","2.0344598293304443","2.0344598293304443","247","247","247"
"498000","1.918168306350708","1.918168306350708","1.918168306350708","248","248","248"
"500000","1.870088815689087","1.870088815689087","1.870088815689087","249","249","249"
"502000","2.157491683959961","2.157491683959961","2.157491683959961","250","250","250"
"504000","2.1113169193267822","2.1113169193267822","2.1113169193267822","251","251","251"
"506000","2.050901174545288","2.050901174545288","2.050901174545288","252","252","252"
"508000","2.1968307495117188","2.1968307495117188","2.1968307495117188","253","253","253"
"510000","1.967589020729065","1.967589020729065","1.967589020729065","254","254","254"
"512000","2.2150368690490723","2.2150368690490723","2.2150368690490723","255","255","255"
"514000","2.102287769317627","2.102287769317627","2.102287769317627","256","256","256"
"516000","2.0495269298553467","2.0495269298553467","2.0495269298553467","257","257","257"
"518000","1.8054593801498413","1.8054593801498413","1.8054593801498413","258","258","258"
"520000","2.0941476821899414","2.0941476821899414","2.0941476821899414","259","259","259"
"522000","1.9707599878311157","1.9707599878311157","1.9707599878311157","260","260","260"
"524000","2.1277809143066406","2.1277809143066406","2.1277809143066406","261","261","261"
"526000","1.8687654733657837","1.8687654733657837","1.8687654733657837","262","262","262"
"528000","1.7957334518432617","1.7957334518432617","1.7957334518432617","263","263","263"
"530000","1.8555482625961304","1.8555482625961304","1.8555482625961304","264","264","264"
"532000","1.860487461090088","1.860487461090088","1.860487461090088","265","265","265"
"534000","2.505248546600342","2.505248546600342","2.505248546600342","266","266","266"
"536000","1.8865575790405273","1.8865575790405273","1.8865575790405273","267","267","267"
"538000","1.7945388555526733","1.7945388555526733","1.7945388555526733","268","268","268"
