"global_step","251221_DQN - rollout/exploration_rate","251221_DQN - rollout/exploration_rate__MIN","251221_DQN - rollout/exploration_rate__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"230000","0.05000000074505806","0.05000000074505806","0.05000000074505806","114","114","114"
"232000","0.05000000074505806","0.05000000074505806","0.05000000074505806","115","115","115"
"234000","0.05000000074505806","0.05000000074505806","0.05000000074505806","116","116","116"
"236000","0.05000000074505806","0.05000000074505806","0.05000000074505806","117","117","117"
"238000","0.05000000074505806","0.05000000074505806","0.05000000074505806","118","118","118"
"240000","0.05000000074505806","0.05000000074505806","0.05000000074505806","119","119","119"
"242000","0.05000000074505806","0.05000000074505806","0.05000000074505806","120","120","120"
"244000","0.05000000074505806","0.05000000074505806","0.05000000074505806","121","121","121"
"246000","0.05000000074505806","0.05000000074505806","0.05000000074505806","122","122","122"
"248000","0.05000000074505806","0.05000000074505806","0.05000000074505806","123","123","123"
"250000","0.05000000074505806","0.05000000074505806","0.05000000074505806","124","124","124"
"252000","0.05000000074505806","0.05000000074505806","0.05000000074505806","125","125","125"
"254000","0.05000000074505806","0.05000000074505806","0.05000000074505806","126","126","126"
"256000","0.05000000074505806","0.05000000074505806","0.05000000074505806","127","127","127"
"258000","0.05000000074505806","0.05000000074505806","0.05000000074505806","128","128","128"
"260000","0.05000000074505806","0.05000000074505806","0.05000000074505806","129","129","129"
"262000","0.05000000074505806","0.05000000074505806","0.05000000074505806","130","130","130"
"264000","0.05000000074505806","0.05000000074505806","0.05000000074505806","131","131","131"
"266000","0.05000000074505806","0.05000000074505806","0.05000000074505806","132","132","132"
"268000","0.05000000074505806","0.05000000074505806","0.05000000074505806","133","133","133"
"270000","0.05000000074505806","0.05000000074505806","0.05000000074505806","134","134","134"
"272000","0.05000000074505806","0.05000000074505806","0.05000000074505806","135","135","135"
"274000","0.05000000074505806","0.05000000074505806","0.05000000074505806","136","136","136"
"276000","0.05000000074505806","0.05000000074505806","0.05000000074505806","137","137","137"
"278000","0.05000000074505806","0.05000000074505806","0.05000000074505806","138","138","138"
"280000","0.05000000074505806","0.05000000074505806","0.05000000074505806","139","139","139"
"282000","0.05000000074505806","0.05000000074505806","0.05000000074505806","140","140","140"
"284000","0.05000000074505806","0.05000000074505806","0.05000000074505806","141","141","141"
"286000","0.05000000074505806","0.05000000074505806","0.05000000074505806","142","142","142"
"288000","0.05000000074505806","0.05000000074505806","0.05000000074505806","143","143","143"
"290000","0.05000000074505806","0.05000000074505806","0.05000000074505806","144","144","144"
"292000","0.05000000074505806","0.05000000074505806","0.05000000074505806","145","145","145"
"294000","0.05000000074505806","0.05000000074505806","0.05000000074505806","146","146","146"
"296000","0.05000000074505806","0.05000000074505806","0.05000000074505806","147","147","147"
"298000","0.05000000074505806","0.05000000074505806","0.05000000074505806","148","148","148"
"300000","0.05000000074505806","0.05000000074505806","0.05000000074505806","149","149","149"
"302000","0.05000000074505806","0.05000000074505806","0.05000000074505806","150","150","150"
"304000","0.05000000074505806","0.05000000074505806","0.05000000074505806","151","151","151"
"306000","0.05000000074505806","0.05000000074505806","0.05000000074505806","152","152","152"
"308000","0.05000000074505806","0.05000000074505806","0.05000000074505806","153","153","153"
"310000","0.05000000074505806","0.05000000074505806","0.05000000074505806","154","154","154"
"312000","0.05000000074505806","0.05000000074505806","0.05000000074505806","155","155","155"
"314000","0.05000000074505806","0.05000000074505806","0.05000000074505806","156","156","156"
"316000","0.05000000074505806","0.05000000074505806","0.05000000074505806","157","157","157"
"318000","0.05000000074505806","0.05000000074505806","0.05000000074505806","158","158","158"
"320000","0.05000000074505806","0.05000000074505806","0.05000000074505806","159","159","159"
"322000","0.05000000074505806","0.05000000074505806","0.05000000074505806","160","160","160"
"324000","0.05000000074505806","0.05000000074505806","0.05000000074505806","161","161","161"
"326000","0.05000000074505806","0.05000000074505806","0.05000000074505806","162","162","162"
"328000","0.05000000074505806","0.05000000074505806","0.05000000074505806","163","163","163"
"330000","0.05000000074505806","0.05000000074505806","0.05000000074505806","164","164","164"
"332000","0.05000000074505806","0.05000000074505806","0.05000000074505806","165","165","165"
"334000","0.05000000074505806","0.05000000074505806","0.05000000074505806","166","166","166"
"336000","0.05000000074505806","0.05000000074505806","0.05000000074505806","167","167","167"
"338000","0.05000000074505806","0.05000000074505806","0.05000000074505806","168","168","168"
"340000","0.05000000074505806","0.05000000074505806","0.05000000074505806","169","169","169"
"342000","0.05000000074505806","0.05000000074505806","0.05000000074505806","170","170","170"
"344000","0.05000000074505806","0.05000000074505806","0.05000000074505806","171","171","171"
"346000","0.05000000074505806","0.05000000074505806","0.05000000074505806","172","172","172"
"348000","0.05000000074505806","0.05000000074505806","0.05000000074505806","173","173","173"
"350000","0.05000000074505806","0.05000000074505806","0.05000000074505806","174","174","174"
"352000","0.05000000074505806","0.05000000074505806","0.05000000074505806","175","175","175"
"354000","0.05000000074505806","0.05000000074505806","0.05000000074505806","176","176","176"
"356000","0.05000000074505806","0.05000000074505806","0.05000000074505806","177","177","177"
"358000","0.05000000074505806","0.05000000074505806","0.05000000074505806","178","178","178"
"360000","0.05000000074505806","0.05000000074505806","0.05000000074505806","179","179","179"
"362000","0.05000000074505806","0.05000000074505806","0.05000000074505806","180","180","180"
"364000","0.05000000074505806","0.05000000074505806","0.05000000074505806","181","181","181"
"366000","0.05000000074505806","0.05000000074505806","0.05000000074505806","182","182","182"
"368000","0.05000000074505806","0.05000000074505806","0.05000000074505806","183","183","183"
"370000","0.05000000074505806","0.05000000074505806","0.05000000074505806","184","184","184"
"372000","0.05000000074505806","0.05000000074505806","0.05000000074505806","185","185","185"
"374000","0.05000000074505806","0.05000000074505806","0.05000000074505806","186","186","186"
"376000","0.05000000074505806","0.05000000074505806","0.05000000074505806","187","187","187"
"378000","0.05000000074505806","0.05000000074505806","0.05000000074505806","188","188","188"
"380000","0.05000000074505806","0.05000000074505806","0.05000000074505806","189","189","189"
"382000","0.05000000074505806","0.05000000074505806","0.05000000074505806","190","190","190"
"384000","0.05000000074505806","0.05000000074505806","0.05000000074505806","191","191","191"
"386000","0.05000000074505806","0.05000000074505806","0.05000000074505806","192","192","192"
"388000","0.05000000074505806","0.05000000074505806","0.05000000074505806","193","193","193"
"390000","0.05000000074505806","0.05000000074505806","0.05000000074505806","194","194","194"
"392000","0.05000000074505806","0.05000000074505806","0.05000000074505806","195","195","195"
"394000","0.05000000074505806","0.05000000074505806","0.05000000074505806","196","196","196"
"396000","0.05000000074505806","0.05000000074505806","0.05000000074505806","197","197","197"
"398000","0.05000000074505806","0.05000000074505806","0.05000000074505806","198","198","198"
"400000","0.05000000074505806","0.05000000074505806","0.05000000074505806","199","199","199"
"402000","0.05000000074505806","0.05000000074505806","0.05000000074505806","200","200","200"
"404000","0.05000000074505806","0.05000000074505806","0.05000000074505806","201","201","201"
"406000","0.05000000074505806","0.05000000074505806","0.05000000074505806","202","202","202"
"408000","0.05000000074505806","0.05000000074505806","0.05000000074505806","203","203","203"
"410000","0.05000000074505806","0.05000000074505806","0.05000000074505806","204","204","204"
"412000","0.05000000074505806","0.05000000074505806","0.05000000074505806","205","205","205"
"414000","0.05000000074505806","0.05000000074505806","0.05000000074505806","206","206","206"
"416000","0.05000000074505806","0.05000000074505806","0.05000000074505806","207","207","207"
"418000","0.05000000074505806","0.05000000074505806","0.05000000074505806","208","208","208"
"420000","0.05000000074505806","0.05000000074505806","0.05000000074505806","209","209","209"
"422000","0.05000000074505806","0.05000000074505806","0.05000000074505806","210","210","210"
"424000","0.05000000074505806","0.05000000074505806","0.05000000074505806","211","211","211"
"426000","0.05000000074505806","0.05000000074505806","0.05000000074505806","212","212","212"
"428000","0.05000000074505806","0.05000000074505806","0.05000000074505806","213","213","213"
"430000","0.05000000074505806","0.05000000074505806","0.05000000074505806","214","214","214"
"432000","0.05000000074505806","0.05000000074505806","0.05000000074505806","215","215","215"
"434000","0.05000000074505806","0.05000000074505806","0.05000000074505806","216","216","216"
"436000","0.05000000074505806","0.05000000074505806","0.05000000074505806","217","217","217"
"438000","0.05000000074505806","0.05000000074505806","0.05000000074505806","218","218","218"
"440000","0.05000000074505806","0.05000000074505806","0.05000000074505806","219","219","219"
"442000","0.05000000074505806","0.05000000074505806","0.05000000074505806","220","220","220"
